sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Столица:3 Азербайджана [UNK] [MASK] . [SEP],[UNK],Баку,0,Баку,0
[CLS] Столица:3 Бродовского:3 района [UNK] [MASK] . [SEP],[UNK],Броды:2,0,Броды:2,0
[CLS] Столица:3 Кука:2 [UNK] [MASK] . [SEP],[UNK],Чикаго,0,Чикаго,0
[CLS] Столица:3 Морт:2 - Бенда:2 [UNK] [MASK] . [SEP],[UNK],Ричмонд:4,0,Ричмонд:4,0
[CLS] Столица:3 Кайюга:4 [UNK] [MASK] . [SEP],[UNK],Оберн:2,0,Оберн:2,0
[CLS] Столица:3 Гранда:2 аста:2 [UNK] [MASK] . [SEP],[UNK],Страсбург:3,0,Страсбург:3,0
[CLS] Столица:3 Кадда:3 [UNK] [MASK] . [SEP],[UNK],Шривпорт:3,0,Шривпорт:3,0
[CLS] Столица:3 Небраски:3 [UNK] [MASK] . [SEP],[UNK],Линкольн:4,0,Линкольн:4,0
[CLS] Столица:3 Гэмппшира:6 [UNK] [MASK] . [SEP],[UNK],Уинчестер:4,0,Уинчестер:4,0
[CLS] Столица:3 Александрии:2 [UNK] [MASK] . [SEP],[UNK],Александрия:2,0,Александрия:2,0
[CLS] Столица:3 Коломба:3 [UNK] [MASK] . [SEP],[UNK],Коломбо:4,0,Коломбо:4,0
[CLS] Столица:3 Королевства:4 рталия:3 [UNK] [MASK] . [SEP],[UNK],Флоренция:4,0,Флоренция:4,0
[CLS] Столица:3 Великого княжества:3 книжества:3 княжествого:4 [UNK] [MASK] . [SEP],[UNK],Хельсинки:4,0,Хельсинки:4,0
[CLS] Столица:3 Телангана:3 [UNK] [MASK] . [SEP],[UNK],Хайдарабад:5,0,Хайдарабад:5,0
[CLS] Столица:3 Сити - офКарлайла:6 [UNK] [MASK] . [SEP],[UNK],Карлайл:2,0,Карлайл:2,0
[CLS] Столица:3 Пжной:2 Австралии [UNK] [MASK] . [SEP],[UNK],Аделаида:3,0,Аделаида:3,0
[CLS] Столица:3 Ротландского:4 королевства:3 [UNK] [MASK] . [SEP],[UNK],Эдинбург:3,0,Эдинбург:3,0
[CLS] Столица:3 Польской:2 деспублики:5 [UNK] [MASK] . [SEP],[UNK],Варшава,0,Варшава,0
[CLS] Столица:3 Дакки:3 [UNK] [MASK] . [SEP],[UNK],Дакка:3,0,Дакка:3,0
[CLS] Столица:3 Рейхскомиссариатии:8 [UNK] [MASK] . [SEP],[UNK],Москва,0,Москва,0
[CLS] Столица:3 Кентербери:5 [UNK] [MASK] . [SEP],[UNK],Крайстчерч:5,0,Крайстчерч:5,0
[CLS] Столица:3 Королевства:4 Франции [UNK] [MASK] . [SEP],[UNK],Париж,0,Париж,0
[CLS] Столица:3 Бремен:3 - ееддена:3 [UNK] [MASK] . [SEP],[UNK],Штаде:3,0,Штаде:3,0
[CLS] Столица:3 Альберта:2 [UNK] [MASK] . [SEP],[UNK],Эдмонтон:4,0,Эдмонтон:4,0
[CLS] Столица:3 Атенса:3 [UNK] [MASK] . [SEP],[UNK],Атенс:3,0,Атенс:3,0
[CLS] Столица:3 Ла - дамина:2 [UNK] [MASK] . [SEP],[UNK],Монако:3,0,Монако:3,0
[CLS] Столица:3 Уочита:3 [UNK] [MASK] . [SEP],[UNK],Камден:2,0,Камден:2,0
[CLS] Столица:3 Германия [UNK] [MASK] . [SEP],[UNK],Берлин,0,Берлин,0
[CLS] Столица:3 Первой Республики Армения:3 [UNK] [MASK] . [SEP],[UNK],Ереван:3,0,Ереван:3,0
[CLS] Столица:3 Абердиншира:5 [UNK] [MASK] . [SEP],[UNK],Абердин:3,0,Абердин:3,0
[CLS] Столица:3 рндиана:3 [UNK] [MASK] . [SEP],[UNK],Индианаполис:5,0,Индианаполис:5,0
[CLS] Столица:3 Окленда:3 [UNK] [MASK] . [SEP],[UNK],Понтиак:3,0,Понтиак:3,0
[CLS] Столица:3 Второй инперии:3 [UNK] [MASK] . [SEP],[UNK],Париж,0,Париж,0
[CLS] Столица:3 Пуэбла:5 [UNK] [MASK] . [SEP],[UNK],Пуэбло:4,0,Пуэбло:4,0
[CLS] Столица:3 Суриды:3 [UNK] [MASK] . [SEP],[UNK],Дели:2,0,Дели:2,0
[CLS] Столица:3 Кембриджшира:6 [UNK] [MASK] . [SEP],[UNK],Кембридж:4,0,Кембридж:4,0
[CLS] Столица:3 Лунда:2 [UNK] [MASK] . [SEP],[UNK],Лунд:3,0,Лунд:3,0
[CLS] Столица:3 Аламанса:3 [UNK] [MASK] . [SEP],[UNK],Грейам:3,0,Грейам:3,0
[CLS] Столица:3 Лебанона:3 [UNK] [MASK] . [SEP],[UNK],Лебанон:3,0,Лебанон:3,0
[CLS] Столица:3 Милуоки:3 [UNK] [MASK] . [SEP],[UNK],Милуоки:3,0,Милуоки:3,0
[CLS] Столица:3 Королевства:4 Сицилия:3 [UNK] [MASK] . [SEP],[UNK],Неаполь:3,0,Неаполь:3,0
[CLS] Столица:3 Эндраи:3 и Луара:3 [UNK] [MASK] . [SEP],[UNK],Тур,0,Тур,0
[CLS] Столица:3 Вильнюсского:5 района [UNK] [MASK] . [SEP],[UNK],Вильнюс:4,0,Вильнюс:4,0
[CLS] Столица:3 Британской:3 Гвиана:3 [UNK] [MASK] . [SEP],[UNK],Джорджтаун:3,0,Джорджтаун:3,0
[CLS] Столица:3 Бэйянского:4 правительства [UNK] [MASK] . [SEP],[UNK],Пекин:3,0,Пекин:3,0
[CLS] Столица:3 Апулии:3 [UNK] [MASK] . [SEP],[UNK],Бари:2,0,Бари:2,0
[CLS] Столица:3 Дллирийского:4 провинции [UNK] [MASK] . [SEP],[UNK],Любляна:4,0,Любляна:4,0
[CLS] Столица:3 Восточной Фландрии:3 [UNK] [MASK] . [SEP],[UNK],Гент:2,0,Гент:2,0
[CLS] Столица:3 Дании:2 [UNK] [MASK] . [SEP],[UNK],Копенгаген:5,0,Копенгаген:5,0
[CLS] Столица:3 Мичигана:3 [UNK] [MASK] . [SEP],[UNK],Лансинг:3,0,Лансинг:3,0
[CLS] Столица:3 Большие:2 Парижа [UNK] [MASK] [MASK] [MASK] . [SEP],[UNK] . г,Париж,0,Париж,0
[CLS] Столица:3 Кабелла:4 [UNK] [MASK] . [SEP],[UNK],Хантингтон:4,0,Хантингтон:4,0
[CLS] Столица:3 Султаната:3 Айюбидов:4 [UNK] [MASK] . [SEP],[UNK],Каир:3,0,Каир:3,0
[CLS] Столица:3 Бранденбург:4 - руссии:2 [UNK] [MASK] . [SEP],[UNK],Берлин,0,Берлин,0
[CLS] Столица:3 Праведного:4 халифата:4 [UNK] [MASK] . [SEP],[UNK],Медина:3,0,Медина:3,0
[CLS] Столица:3 Стерлинга:4 [UNK] [MASK] . [SEP],[UNK],Стерлинг:4,0,Стерлинг:4,0
[CLS] Столица:3 Стаффордшира:6 [UNK] [MASK] . [SEP],[UNK],Стаффорд:4,0,Стаффорд:4,0
[CLS] Столица:3 Сёгуната:4 Токугава:3 [UNK] [MASK] . [SEP],[UNK],Эдо:2,0,Эдо:2,0
[CLS] Столица:3 Объединённого:5 королерланды:4 [UNK] [MASK] . [SEP],[UNK],Амстердам:4,0,Амстердам:4,0
[CLS] Столица:3 Картли:3 - Кахетинского:4 царства [UNK] [MASK] . [SEP],[UNK],Тбилиси:3,0,Тбилиси:3,0
[CLS] Столица:3 СССР [UNK] [MASK] . [SEP],[UNK],Москва,0,Москва,0
[CLS] Столица:3 Западно:2 - Каханской:3 области [UNK] [MASK] . [SEP],[UNK],Уральск:3,0,Уральск:3,0
[CLS] Столица:3 Королевства:4 Румыния:3 [UNK] [MASK] . [SEP],[UNK],Бухарест:3,0,Бухарест:3,0
[CLS] Столица:3 Тасмания:4 [UNK] [MASK] . [SEP],[UNK],Хобарт:3,0,Хобарт:3,0
[CLS] Столица:3 Мерримака:4 [UNK] [MASK] . [SEP],[UNK],Конкорд:4,0,Конкорд:4,0
[CLS] Столица:3 Лимерика:3 [UNK] [MASK] . [SEP],[UNK],Лимерик:3,0,Лимерик:3,0
[CLS] Столица:3 щатимидского:4 халифата:4 [UNK] [MASK] . [SEP],[UNK],Каир:3,0,Каир:3,0
[CLS] Столица:3 Окленда:3 [UNK] [MASK] . [SEP],[UNK],Окленд:3,0,Окленд:3,0
[CLS] Столица:3 Нью - дээпшира:5 [UNK] [MASK] . [SEP],[UNK],Конкорд:4,0,Конкорд:4,0
[CLS] Столица:3 Одесской:3 области [UNK] [MASK] . [SEP],[UNK],Одесса:2,0,Одесса:2,0
[CLS] Столица:3 Триполи:3 ( район ) [UNK] [MASK] . [SEP],[UNK],Триполи:3,0,Триполи:3,0
[CLS] Столица:3 Австралии [UNK] [MASK] . [SEP],[UNK],Канберра:4,0,Канберра:4,0
[CLS] Столица:3 Антрима:3 [UNK] [MASK] . [SEP],[UNK],Антрим:3 ( город ),0,Антрим:3 ( город ),0
[CLS] Столица:3 Османской:3 империи [UNK] [MASK] . [SEP],[UNK],Стамбул:3,0,Стамбул:3,0
[CLS] Столица:3 Килкенни:4 [UNK] [MASK] . [SEP],[UNK],Килкенни:4,0,Килкенни:4,0
[CLS] Столица:3 Эдинбурга:3 [UNK] [MASK] . [SEP],[UNK],Эдинбург:3,0,Эдинбург:3,0
[CLS] Столица:3 рго:2 - ъападной:4 Англии [UNK] [MASK] . [SEP],[UNK],Бристоль:3,0,Бристоль:3,0
[CLS] Столица:3 Сербской:3 деспотовины:5 [UNK] [MASK] . [SEP],[UNK],Белград,0,Белград,0
[CLS] Столица:3 Техаса:3 [UNK] [MASK] . [SEP],[UNK],Остин:3,0,Остин:3,0
[CLS] Столица:3 Латинской:3 империи [UNK] [MASK] . [SEP],[UNK],Константинополь:2,0,Константинополь:2,0
[CLS] Столица:3 Матануски:4 - Суситна:3 [UNK] [MASK] . [SEP],[UNK],Палмер:3,0,Палмер:3,0
[CLS] Столица:3 Рина:2 [UNK] [MASK] . [SEP],[UNK],Хатчинсон:4,0,Хатчинсон:4,0
[CLS] Столица:3 Мериуэдера:5 [UNK] [MASK] . [SEP],[UNK],Гринвилл:4,0,Гринвилл:4,0
[CLS] Столица:3 Венгрии [UNK] [MASK] . [SEP],[UNK],Будапешт:4,0,Будапешт:4,0
[CLS] Столица:3 Равали:3 [UNK] [MASK] . [SEP],[UNK],Гамильтон:4,0,Гамильтон:4,0
[CLS] Столица:3 России [UNK] [MASK] . [SEP],[UNK],Москва,0,Москва,0
