sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] аристотелизм:5 назван в честь [MASK] [MASK] [MASK] . [SEP],А .а:2,Аристотеля:4,0,Аристотель:4,0
[CLS] Германия названна:2 в честь [MASK] [MASK] [MASK] . [SEP],Г .а:2,Баварии:3,0,Бавария,0
[CLS] США назван в честь [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Америки,0,Америка,0
[CLS] Афины:3 назван в честь [MASK] [MASK] [MASK] . [SEP],А .а:2,Афины:3,0,Афина:3,0
[CLS] Индийский:3 океан назван в честь [MASK] [MASK] [MASK] . [SEP],Ин .а:2,рндии:3,0,Индия,0
[CLS] Антверпен:4 назван в честь [MASK] [MASK] [MASK] . [SEP],Г .а:2,Антверпена:5,0,Антверпен:4,0
[CLS] Послания:3 Павла назван в честь [MASK] . [SEP],А,Апостола:4 Павел,0,Апостол:4 Павел,0
[CLS] БРИК:3 назван в честь [MASK] [MASK] [MASK] . [SEP],Б .а:2,Бразилии,0,Бразилия,0
[CLS] БРИК:3 назван в честь [MASK] [MASK] [MASK] . [SEP],Б .а:2,России,0,Россия,0
[CLS] БРИК:3 назван в честь [MASK] [MASK] [MASK] . [SEP],Б .а:2,рндии:3,0,Индия,0
[CLS] Остров Рождества:5 назван в честь [MASK] [MASK] [MASK] . [SEP],Р . А,Рождества:5 Иристов:3,0,Рождество:5 Христово:2,0
[CLS] Меловой:3 период назван в честь [MASK] [MASK] [MASK] . [SEP],М .а:2,мела:2,0,мел:2,0
[CLS] Франция названна:2 в честь [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,франки:2,0,франки:2,0
[CLS] кофеин:3 назван в честь [MASK] [MASK] [MASK] . [SEP],кофеина:3,кофе:2,0,кофе:2,0
[CLS] Куба либре:3 названно:2 в честь [MASK] . [SEP],В,Кубы:3,0,Куба,0
[CLS] Девонский:3 период назван в честь [MASK] [MASK] [MASK] . [SEP],Де .на:2,Девона:3,0,Девон:3,0
[CLS] Делмарва:4 назван в честь [MASK] [MASK] [MASK] . [SEP],В . В,Делавэра:3,0,Делавэр:3,0
[CLS] Ла - Манш:3 назван в честь [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Ла . М .а:2,Бретани:3,0,Бретань:3,0
[CLS] Европейский:2 союз назван в честь [MASK] [MASK] [MASK] . [SEP],Г .ка:2,Европы,0,Европа,0
[CLS] Бангладеш:4 назван в честь [MASK] . [SEP],В,бенгальского:4 языка,0,бенгальский:4 язык,0
[CLS] Тринидад:3 и Тобаго:3 названно:2 в честь [MASK] . [SEP],г,Тобаго:3,0,Тобаго:3,0
[CLS] франций:2 назван в честь [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . .а:2,Франции,0,Франция,0
[CLS] GNU назван в честь [MASK] [MASK] [MASK] . [SEP],К .а:2,UNIX,0,UNIX,0
