sentence,prediction,gold,is_same
[CLS] North Carolina Agricultural and Technical State University is a [MASK] [MASK] [MASK] [MASK] . [SEP],college in North Carolina,land - grant university | Land - grant universities | land grant college | land grant institution | land grant university | land - grant college | land - grant university,False
[CLS] 2010 Capital One Bowl is a [MASK] [MASK] [MASK] [MASK] . [SEP],2010 Capital One Bowl,bowl game | bowl game,False
[CLS] Food & History is a [MASK] [MASK] . [SEP],separate separate,scientific journal | scientific journal | scientific magazine,False
[CLS] Springhurst:2 is a [MASK] [MASK] [MASK] [MASK] . [SEP],land - land land,railway station | rail station | rail stop | railroad station | railway station | railway stop | train station,False
[CLS] Hildebrand:3 is a [MASK] [MASK] [MASK] . [SEP],town - town,family name | family name | last name | surname:2,False
[CLS] Laval - d ' Aurelle:2 is a [MASK] . [SEP],commune,commune of France | commune | commune ( France ) | commune of France,True
[CLS] Ditchford:3 railway station is a [MASK] [MASK] . [SEP],railway station,railway station | rail station | rail stop | railroad station | railway station | railway stop | train station,True
[CLS] Centre Place is a [MASK] [MASK] [MASK] . [SEP],street in London,shopping mall | mall | shopping arcade | shopping center | shopping mall | shopping precinct:3,False
[CLS] Ashibetsu:3 Station is a [MASK] . [SEP],station,railway station | rail station | rail stop | railroad station | railway station | railway stop | train station,False
[CLS] Boa people is a [MASK] [MASK] [MASK] [MASK] . [SEP],branch of Boa people,ethnic group | ethnic group | ethnic groups | people group | tribe,False
[CLS] Bohunt:3 School is a [MASK] . [SEP],school,secondary school | high school | secondary school,False
[CLS] MTV Europe Music Award for Best Italian Act is a [MASK] [MASK] [MASK] . [SEP],series of awards,MTV Europe Music Award | EMAs:3 | MTV EMAs:3 | MTV Europe Music Award,False
[CLS] Waka:2 - ush:2 Kamuy:3 is a [MASK] [MASK] [MASK] . [SEP],State of State,Kamuy:3 | Kamuy:3,False
[CLS] Smolensk:3 North Airport is a [MASK] [MASK] . [SEP],terminal terminal,airbase:2 | air base | air force base | air force station | airbase:2 | military airbase:2 | military airfield:2 | military airport,False
[CLS] Hai Sing Catholic School is a [MASK] [MASK] . [SEP],Catholic school,secondary school | high school | secondary school,False
[CLS] Baltija:2 Shipbuilding:2 Yard is a [MASK] [MASK] [MASK] . [SEP],Shipbuilding:2 Yard,"shipyard:2 | dockyard:2 | dockyards:3 | shipyard:2 | shipyards:3 | shipyards:3 , dockyards:3",False
[CLS] Live is a [MASK] [MASK] . [SEP],live band,live album | concert album | live album,False
[CLS] May 1981 tornado outbreak is a [MASK] [MASK] . [SEP],tornado outbreak,tornado outbreak | tornado outbreak,True
[CLS] Psychopathic:3 Murder Mix Volume 1 is a [MASK] [MASK] [MASK] . [SEP],recording of Sgt,remix album | remix album,False
