sentence,prediction,gold,is_same
[CLS] Duke of Rutland:3 is named after [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Duke of Rutland:3,Rutland:3 | Rutland:3,False
[CLS] Port Glasgow railway station is named after [MASK] . [SEP],him,Port Glasgow | Port Glasgow,False
[CLS] Shotton:2 railway station is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Shotton:2 railway station,"Shotton:2 | Shotton:2 | Shotton:2 , Flintshire:2",False
[CLS] Koopmans:3 ' theorem is named after [MASK] [MASK] [MASK] . [SEP],Koopmans:3,Tjalling:3 Koopmans:3 | Tjalling:3 Charles Koopmans:3 | Tjalling:3 Koopmans:3,False
[CLS] Al Ain International Airport is named after [MASK] . [SEP],him,Al Ain | Al Ain | Garden City | The Spring,False
[CLS] Izhevsk:4 State Technical University is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Izhevsk:4,Mikhail Kalashnikov:3 | Mikhail Kalashnikov:3 | Mikhail Timofeyevich:4 Kalashnikov:3,False
[CLS] Ophir:2 Award is named after [MASK] . [SEP],him,Ophir:2 | Ophir:2,False
[CLS] Fennoscandia:4 is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Fennoscandia:4,Scandinavian Peninsula | Scandinavian Peninsula,False
[CLS] Avoch:2 railway station is named after [MASK] [MASK] . [SEP],Avoch:2,Avoch:2 | Avoch:2,True
[CLS] Scalby:3 railway station is named after [MASK] [MASK] [MASK] . [SEP],Scalby:3,"Scalby:3 | Scalby:3 | Scalby:3 , North Yorkshire",True
[CLS] Suwarrow:3 is named after [MASK] [MASK] [MASK] . [SEP],Suwarrow:3,Alexander Suvorov:3 | Alexander Suvorov:3,False
[CLS] Moultrie:3 County is named after [MASK] [MASK] [MASK] . [SEP],Moultrie:3,William Moultrie:3 | William Moultrie:3,False
[CLS] Stanmore:2 Village railway station is named after [MASK] [MASK] [MASK] . [SEP],Stanmore:2 Village,Stanmore:2 | Stanmore:2,False
[CLS] Jules Verne ATV is named after [MASK] . [SEP],him,Jules Verne | Jules Gabriel Verne | Jules Verne,False
[CLS] Sant ' Agnese:2 in Agone:2 is named after [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Agnese:2 in Agone:2,"Agnes of Rome | Agnes | Agnes of Rome | Saint Agnes | Saint , Martyr:2 Agnes | Santa Inez:2",False
[CLS] Abengourou:4 Airport is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Abengourou:4,Abengourou:4 | Abengourou:4,True
[CLS] Chungking:2 Express is named after [MASK] [MASK] . [SEP],Chungking:2,Chungking:2 Mansions:2 | Chungking:2 Mansions:2,False
[CLS] Kemmerer:3 Municipal Airport is named after [MASK] [MASK] [MASK] . [SEP],Kemmerer:3,"Kemmerer:3 | Kemmerer:3 | Kemmerer:3 , USA | Kemmerer:3 , Wyoming",True
[CLS] Abergynolwyn:4 railway station is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Abergynolwyn:4,Abergynolwyn:4 | Abergynolwyn:4,True
[CLS] John Cabot:2 University is named after [MASK] . [SEP],him,John Cabot:2 | Giovanni Caboto:2 | Giovanni Chabotto:3 | John Cabot:2 | Zuan:2 Cabotto:2 | Zuan:2 Chabotto:3,False
[CLS] Vegafonna:3 is named after [MASK] [MASK] [MASK] . [SEP],Vegafonna:3,SS Vega | SS Vega,False
[CLS] Sialkot:3 International Airport is named after [MASK] [MASK] [MASK] . [SEP],Sialkot:3,Sialkot:3 | Sialkot:3,True
[CLS] Ludwig - Prandtl:3 - Ring is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Ludwig Prandtl:3,Ludwig Prandtl:3 | Ludwig Prandtl:3,True
[CLS] FTL:3 : Faster:2 Than Light is named after [MASK] [MASK] [MASK] . [SEP],FTL:3,faster - than - light | FTL:3 | faster than light | faster - than - light | superluminal:3 | superluminosity:4,True
[CLS] Heilbronn triangle problem is named after [MASK] . [SEP],Heilbronn,Hans Heilbronn | Hans Heilbronn,False
[CLS] Fillmore:3 County is named after [MASK] [MASK] [MASK] . [SEP],Fillmore:3,Millard:2 Fillmore:3 | M . Fillmore:3 | Millard:2 Fillmore:3 | President Fillmore:3,False
[CLS] Citizenfour:2 is named after [MASK] . [SEP],him,Edward Snowden:2 | Ed Snowden:2 | Edward Joseph Snowden:2 | Edward Snowden:2,False
[CLS] Russian battleship:2 Petropavlovsk:5 is named after [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Petropavlovsk:5,Jean - Paul Marat:2 | Auteur:2 de l ' Offrande:2 à la patrie:2 | Jean Paul Marat:2 | Jean - Paul Marat:2 | M . Marat:2,False
[CLS] Merton:2 College is named after [MASK] [MASK] [MASK] . [SEP],Merton:2 College,Walter de Merton:2 | Walter de Merton:2,False
[CLS] Wokingham:3 railway station is named after [MASK] [MASK] [MASK] . [SEP],Wokingham:3,"Wokingham:3 | Wokingham:3 | Wokingham:3 , Berkshire",True
[CLS] 65 Cybele:3 is named after [MASK] [MASK] [MASK] . [SEP],Cybele:3,Cybele:3 | Cibeles:3 | Cybele:3 | Kuvava:3 | Matar:2 Kubileya:3,True
[CLS] Church Fenton:2 railway station is named after [MASK] [MASK] [MASK] . [SEP],Church Fenton:2,Church Fenton:2 | Church Fenton:2,True
[CLS] Klein Sexual Orientation:2 Grid:2 is named after [MASK] [MASK] [MASK] . [SEP],Klein sexual orientation,Fritz Klein | Fritz Klein,False
[CLS] Heinrich Hertz:2 Tower is named after [MASK] [MASK] [MASK] . [SEP],Heinrich Hertz:2,Enrique Rodolfo Hercio:2 | Heinrich Hertz:2 | Heinrich Rudolf Hertz:2,True
[CLS] USS Ling is named after [MASK] [MASK] . [SEP],his honor,cobia:2 | Rachycentron:4 canadum:3 | cobia:2,False
[CLS] Hartvig:2 Nissen:2 School is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Hartvig:2 Nissen:2,Hartvig:2 Nissen:2 | Hartvig:2 Nissen:2,True
[CLS] Gatineau:3 - Ottawa Executive Airport is named after [MASK] . [SEP],him,Gatineau:3 | Gatineau:3 | Ville de Gatineau:3,False
[CLS] Katherine Mansfield Birthplace:2 is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Katherine Mansfield Birthplace:2,Katherine Mansfield | Katherine Beauchamp:3 Mansfield | Katherine Mansfield | Katherine Mansfield Beauchamp:3 Murry:2 | Kathleen Murry:2,False
[CLS] Timaeus:3 is named after [MASK] [MASK] [MASK] . [SEP],Timaeus:3,Timaeus:3 of Locri:2 | Timaeus:3 of Locri:2,False
[CLS] Ben Hatskin:3 Trophy is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Ben Hatskin:3,Ben Hatskin:3 | Ben Hatskin:3,True
[CLS] Frobenius:3 theorem is named after [MASK] [MASK] [MASK] . [SEP],Frobenius:3,Ferdinand Georg Frobenius:3 | Ferdinand Georg Frobenius:3,False
[CLS] Brusilov:3 Offensive is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Brusilov:3 Offensive,Aleksey:3 Brusilov:3 | Aleksey:3 Alekseyevich:4 Brusilov:3 | Aleksey:3 Brusilov:3,False
[CLS] Rupp:3 Arena is named after [MASK] [MASK] [MASK] . [SEP],Rupp:3,Adolph Rupp:3 | Adolph Rupp:3,False
[CLS] Qingdao:2 Jiaodong:3 International Airport is named after [MASK] . [SEP],him,Qingdao:2 | Qingdao:2 | Tsingtao:3,False
[CLS] Campbeltown:3 Airport is named after [MASK] [MASK] [MASK] . [SEP],Campbeltown:3,Campbeltown:3 | Cammeltoun:3 | Campbeltown:3 | Ceann:2 Loch Chille:2 Chiarain:2 | Ceann:2 Locha:2 | Kinlochkilkerran:6,True
[CLS] Cottam:3 railway station is named after [MASK] [MASK] [MASK] . [SEP],Cottam:3,"Cottam:3 , Nottinghamshire:2 | Cottam:3 , Nottinghamshire:2",False
[CLS] Giulio Cesare in Egitto is named after [MASK] [MASK] . [SEP],Julius Caesar,Julius Caesar | Caesar | Caio:2 Giulio Cesare | Divus:2 Julius | Gaio:2 Giulio Cesare | Gaius Iulius:3 Caesar | Gaius Julius C . f . C . n . Caesar | Gaius Julius Caesar | Gaius Julius Caesar IV | Gayo:2 Julio Cesar | Imperator:2 Gaius Julius Gaii:2 filius:2 Gaii:2 nepos:2 Caesar Patris:2 Patriae:2 | Iulius:3 Caesar | Julius Caesar | Juliusz:2 Cezar:2,True
[CLS] Vasabron:2 is named after [MASK] . [SEP],Vasa,House of Vasa | House of Vasa,False
[CLS] Featherstone:3 railway station is named after [MASK] [MASK] [MASK] . [SEP],Featherstone:3,"Featherstone:3 | Featherstone:3 | Featherstone:3 , Wakefield | Featherstone:3 , West Yorkshire",True
[CLS] Auchinleck:4 railway station is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Auchinleck:4,Auchinleck:4 | Auchinleck:4,True
[CLS] Moltke:2 is named after [MASK] [MASK] . [SEP],Moltke:2,Helmuth:2 von Moltke:2 the Elder | H . K . B . von Moltke:2 | Helmuth:2 Karl Bernhard von Moltke:2 | Helmuth:2 von Moltke:2 the Elder,False
[CLS] Piet Zwart:2 Institute is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Piet Zwart:2 Institute,Piet Zwart:2 | Piet Zwart:2 | Pieter Zwart:2,False
[CLS] Monty Hall problem is named after [MASK] [MASK] . [SEP],Monty Hall,Monty Hall | Monte Halparin:3 | Monty Hall,True
[CLS] Porte Maillot:2 is named after [MASK] [MASK] [MASK] . [SEP],Porte Maillot:2,Porte Maillot:2 | Porte Maillot:2,True
[CLS] Lindenau:2 is named after [MASK] [MASK] . [SEP],Lindenau:2,Bernhard von Lindenau:2 | Bernhard von Lindenau:2,False
[CLS] Twenty Five is named after [MASK] [MASK] [MASK] . [SEP],N . N,Twenty - fifth Amendment to the United States Constitution | 25th Amendment | Amendment XXV | Twenty - fifth Amendment to the United States Constitution,False
[CLS] Whissendine:4 railway station is named after [MASK] [MASK] [MASK] [MASK] . [SEP],Whissendine:4,"Whissendine:4 | Whissendine:4 | Whissendine:4 , Rutland:3",True
[CLS] Cologno:2 Sud metro station is named after [MASK] [MASK] [MASK] . [SEP],Cologno:2 Sud,Cologno:2 Monzese:3 | Cologno:2 Monzese:3,False
[CLS] Colnbrook:3 with Poyle:2 is named after [MASK] [MASK] [MASK] . [SEP],Colnbrook:3,"Colnbrook:3 | Colnbrook:3 | Colnbrook:3 , Berkshire",True
