sentence,prediction,gold,is_same
[CLS] Mercedes AMG:2 High Performance Powertrains:3 is owned by [MASK] [MASK] [MASK] . [SEP],Mercedes AMG:2,Daimler AG | Daimler | Daimler AG | DaimlerChrysler:4 | DaimlerChrysler:4 AG,False
[CLS] SS Adriatic:3 is owned by [MASK] [MASK] [MASK] . [SEP],U . S,White Star Line | Oceanic:2 Steam Navigation Company | White Star Line | White Star Line of Boston Packets:2,False
[CLS] Renco:2 Group is owned by [MASK] [MASK] . [SEP],Renco:2,Ira Rennert:2 | Ira Rennert:2,False
[CLS] Hyderabad House is owned by [MASK] [MASK] . [SEP],Hyderabad House,Hyderabad State | Hyderabad State,False
[CLS] VHS is owned by [MASK] [MASK] . [SEP],Warner Bros,"JVC:3 | JVC:3 | JVC:3 electronics | Victor Company of Japan - JVC:3 | Victor Company of Japan , Limited | Victor Company of Japan , Ltd",False
[CLS] Interstate 696 is owned by [MASK] [MASK] [MASK] . [SEP],W . W,Michigan Department of Transportation | MDOT:2 | Michigan Department of Transportation,False
[CLS] Aim:2 toothpaste:4 is owned by [MASK] [MASK] . [SEP],Aim:2,Church & Dwight | Church & Dwight | Church & Dwight ( United States ),False
[CLS] Abeka:2 is owned by [MASK] [MASK] [MASK] . [SEP],S . S,Pensacola:3 Christian College | Pensacola:3 Christian College,False
[CLS] Class CNBC:2 is owned by [MASK] [MASK] . [SEP],Warner Bros,Class Editori:2 | Class Editori:2,False
[CLS] Bassano:2 Virtus:2 55 S . T . is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Bassano:2 Virtus:2 55,Renzo Rosso | Renzo Rosso,False
[CLS] Stadio Comunale:2 is owned by [MASK] [MASK] [MASK] . [SEP],Stadio Comunale:2,Chiavari:3 | Chiavari:3,False
[CLS] Wilkerson:3 - Sanders Memorial Stadium is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Wilkerson:3 - Sanders,Rockwall:2 Independent School District | Rockwall:2 Independent School District,False
[CLS] Royal Terrace Pier is owned by [MASK] [MASK] . [SEP],Terrace Pier,Port of London Authority | Port of London Authority,False
[CLS] Carrier Corporation is owned by [MASK] [MASK] [MASK] . [SEP],T . T,United Technologies Corporation | UTC | United Technologies Corporation,False
[CLS] MacCracken:4 Hall is owned by [MASK] [MASK] [MASK] . [SEP],Co . Co,Miami University | Miami | Miami ( OH ) | Miami University | Miami of Ohio | Miami - Ohio,False
[CLS] Wray:2 Castle is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],Wray:2 Castle Club,National Trust | National Trust | National Trust for Places of Historic Interest or Natural Beauty,False
[CLS] Stadio Comunale:2 Mario Battaglini:3 is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],Mario Battaglini:3,Rovigo:3 | Rovigo:3,False
[CLS] Karlovačka:3 pivovara:3 is owned by [MASK] [MASK] [MASK] . [SEP],K . K,Heineken:2 | Heineken:2 | Heineken:2 International,False
[CLS] Cartoon Network Studios is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],U . S .,"Turner Broadcasting System | TBS , Inc . | Turner | Turner Broadcasting | Turner Broadcasting System | Turner Broadcasting System , Inc .",False
[CLS] Fubon:2 Bank is owned by [MASK] [MASK] [MASK] . [SEP],Fubon:2 Bank,Fubon:2 Financial Holding Co . | Fubon:2 Financial Holding Co .,False
[CLS] Betty Crocker:3 is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],Betty Crocker:3,General Mills | General Mills,False
[CLS] Lima Airport Partners is owned by [MASK] [MASK] [MASK] . [SEP],Lima Airport Partners,Fraport:2 | Fraport:2 | Fraport:2 AG Frankfurt Airport Services Worldwide,False
[CLS] Gangjin:2 Baseball Park is owned by [MASK] [MASK] . [SEP],Gangjin:2,Gangjin:2 County | Gangjin:2 County | Gangjin:2 - gun,False
[CLS] Arena Manawatu:3 is owned by [MASK] [MASK] [MASK] . [SEP],Manawatu:3,Palmerston:2 North | Knowledge City | Palmerston:2 North | Palmy:2 | Palmy:2 North | Rose City | Student City | Te Papaioea:3,False
[CLS] Karaağaç:4 railway station is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],Karaağaç:4,Trakya:3 University | Trakya:3 University | Trakya:3 Üniversitesi | University of Thrace:2,False
[CLS] Hilton London Hyde Park is owned by [MASK] [MASK] . [SEP],Hilton London,Hilton Worldwide | Hilton Hotels Corporation | Hilton Worldwide | Hilton Worldwide Holdings,False
[CLS] Disney Music Group is owned by [MASK] [MASK] . [SEP],Donald Trump,The Walt Disney Company | Disney | Disney Brothers Cartoon Studio | The Walt Disney Company | The Walt Disney Studio | Walt Disney | Walt Disney Company | Walt Disney Productions,False
[CLS] Bilkent:2 Concert Hall is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],Bilkent:2 Concert Hall,Bilkent:2 University | Bilkent:2 | Bilkent:2 University | Bilkent:2 Üniversitesi,False
