sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] το Πύργος:3 του Άιφελ:4 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP],Άιφλ:4,Παρίσι,0,Παρίσι,0
[CLS] το Καθεδρικός:6 του Αγίου Λαυρεντίου:7 βρίσκεται στο [MASK] . [SEP],χωριό,Ρότερνταμ:5,0,Ρότερνταμ:5,0
[CLS] το Γερμανικές:4 ομοσπονδιακές:7 εκλογές 2013 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP],Γοο:3,Γερμανία,0,Γερμανία,0
[CLS] το Μάχη:3 του Δέκιμον:5 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Δέκιμον:5,Καρχηδόνα:7,0,Καρχηδόνα:7,0
[CLS] το Καταλανικός:5 μοντερνισμός:5 βρίσκεται στο [MASK] . [SEP],κέντρο,Καταλονία:5,0,Καταλονία:5,0
[CLS] το Αζανία:3 βρίσκεται στο [MASK] . [SEP],Δ,Αφρική:3,0,Αφρική:3,0
[CLS] το ΚΚ:2 Παρτιζάν:6 Βελιγραδίου:6 βρίσκεται στο [MASK] . [SEP],χωριό,Βελιγράδι:7,0,Βελιγράδι:7,0
[CLS] το Αναντολού:5 Εφές:2 βρίσκεται στο [MASK] . [SEP],Δ,Κωνσταντινούπολη:6,0,Κωνσταντινούπολη:6,0
[CLS] το Συστοιχία:5 Τετραγωνικού:5 Χιλιομέτρου:6 βρίσκεται στο [MASK] . [SEP],χωριό,Αυστραλία:5,0,Αυστραλία:5,0
[CLS] το Παναθηναϊκό:6 Στάδιο:3 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Παναθηνα:5,Αθήνα,0,Αθήνα,0
[CLS] το Συνθήκη:4 μείωσης:3 στρατηγικής:5 επιθέσεων:6 βρίσκεται στο [MASK] . [SEP],Παρίσι,Μόσχα:4,0,Μόσχα:4,0
[CLS] το Κύπελλο Κύπρου:4 βρίσκεται στο [MASK] . [SEP],πρωτάθλημα,Κύπρο:4,0,Κύπρος:4,0
