sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] ο Στηβ:2 Τζομπς:6 δουλεύει:4 στο [MASK] . [SEP],νησί,Apple,0,Apple,0
[CLS] ο Στήβεν:4 Βόζνιακ:5 δουλεύει:4 στο [MASK] [MASK] [MASK] [MASK] . [SEP],Βέέλ:4,Apple,0,Apple,0
[CLS] ο Πολ:3 Άλεν:3 δουλεύει:4 στο [MASK] [MASK] [MASK] . [SEP],Ρόλ:3,Microsoft,0,Microsoft,0
[CLS] ο Σάτια:3 Ναντέλα:4 δουλεύει:4 στο [MASK] . [SEP],νησί,Microsoft,0,Microsoft,0
[CLS] ο Μπιλ:3 Γκέιτς:5 δουλεύει:4 στο [MASK] [MASK] [MASK] [MASK] . [SEP],Μέκλ:4,Microsoft,0,Microsoft,0
[CLS] ο Αμπντούλ:6 Καρίμ:5 δουλεύει:4 στην [MASK] . [SEP],πόλη,Βασίλισσα:6 Βικτωρία:5,0,Βασίλισσα:6 Βικτωρία:5,0
[CLS] η Μαρίσα:5 Μάγιερ:5 δουλεύει:4 στο [MASK] [MASK] . [SEP],Βήμο:2,Google,0,Google,0
[CLS] ο Τζέρεμι:6 Κλάρκσον:4 δουλεύει:4 στο [MASK] [MASK] [MASK] [MASK] . [SEP],Μέέλ:4,BBC,0,BBC,0
[CLS] ο Κεν:2 Λόουτς:4 δουλεύει:4 στο [MASK] [MASK] [MASK] . [SEP],Ρόλ:3,BBC,0,BBC,0
[CLS] η Γκλέντα:5 Τζάκσον:5 δουλεύει:4 στο [MASK] . [SEP],χωριό,BBC,0,BBC,0
[CLS] ο Βίλλυ:5 Μπραντ:4 δουλεύει:4 στο [MASK] [MASK] [MASK] [MASK] . [SEP],Μέλλ:4,Βερολίνο:5,0,Βερολίνο:5,0
[CLS] ο Άρθουρ:5 Όλιβερ:4 Γουίλερ:4 δουλεύει:4 στο [MASK] [MASK] [MASK] [MASK] . [SEP],Μέλλ:4,Καναδά:5,0,Καναδάς:5,0
[CLS] η Μαρίσα:5 Μάγιερ:5 δουλεύει:4 στο [MASK] [MASK] . [SEP],Βήμο:2,Yahoo !,0,Yahoo !,0
[CLS] ο Γιαν:2 Σβέελινκ:6 δουλεύει:4 στο [MASK] [MASK] [MASK] . [SEP],Ρόλ:3,Άμστερνταμ:6,0,Άμστερνταμ:6,0
[CLS] η Μαργαρίτα:7 Λούτη:3 δουλεύει:4 στον [MASK] [MASK] . [SEP],δήμο:2,Ραφαήλ:5,0,Ραφαήλ:5,0
