sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] I Won ' t Be Home for Christmas was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.45184
[CLS] Bambi:2 II was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.34994
[CLS] Watchers:2 of the Sky was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.35337
[CLS] Food Feuds:2 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.34635
[CLS] Two Memories was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.37027
[CLS] CNN Special Investigations:2 Unit was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.23924
[CLS] Let Me In was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.35527
[CLS] Up in Central Park was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.50239
[CLS] Dark Tales was created in Hong Kong . [SEP],Hong Kong,Hong Kong,1,Hong Kong,1,-0.01264
[CLS] Rage was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.42448
[CLS] Windtalkers:3 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.45327
[CLS] Royal Pains:2 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.17254
[CLS] November - class submarine was created in Soviet Union . [SEP],Soviet Union,Soviet Union,1,Soviet Union,1,-1.27512
[CLS] Gravitar:4 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.35833
[CLS] Wild Kratts:3 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.51269
[CLS] Shake the Sugar Tree was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.51745
[CLS] Boston Modern Orchestra Project was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.34370
[CLS] All of Us was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.15371
[CLS] Excuse:3 Me was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.32849
[CLS] Duel:2 of Fists:2 was created in Hong Kong . [SEP],Hong Kong,Hong Kong,1,Hong Kong,1,-0.00901
[CLS] The Quicksands:3 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.30724
[CLS] Awkward:4 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.59097
[CLS] Mister 880 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.17557
[CLS] The Scarlet Letters was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.25297
[CLS] AGM:2 - 169 Joint Common Missile was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.41626
[CLS] Grandaddy:3 was created in United States of America . [SEP],United States of America,United States of America,1,United States of America,1,-0.44288
