sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Mission Critical plays adventure game music . [SEP],adventure game,adventure game,1,adventure game,1,-8.25010
[CLS] Tribuzy:3 plays heavy metal music . [SEP],heavy metal,heavy metal,1,heavy metal,1,-3.17497
[CLS] Rockman:2 EXE:2 Operate:2 Shooting Star plays role - playing video game music . [SEP],role - playing video game,role - playing video game,1,role - playing video game,1,-1.11966
[CLS] Home and Away : Secrets and the City plays soap opera music . [SEP],soap opera,soap opera,1,soap opera,1,-1.34545
[CLS] Aaron Copland:2 plays symphony:4 music . [SEP],symphony:4,symphony:4,1,symphony:4,1,-0.18249
[CLS] This Binary:2 Universe plays trance:2 music . [SEP],trance:2,trance:2,1,trance:2,1,-0.86280
[CLS] Fire in the Night plays documentary film music . [SEP],documentary film,documentary film,1,documentary film,1,-5.33576
[CLS] Chris Ward plays country music music . [SEP],country music,country music,1,country music,1,-3.32566
[CLS] Lovers Lane plays horror film music . [SEP],horror film,horror film,1,horror film,1,-8.78117
[CLS] Zelda II : The Adventure of Link plays role - playing video game music . [SEP],role - playing video game,role - playing video game,1,role - playing video game,1,-0.73759
[CLS] Wizardry:2 VII : Crusaders:3 of the Dark Savant:2 plays role - playing video game music . [SEP],role - playing video game,role - playing video game,1,role - playing video game,1,-0.59455
[CLS] An Eye for an Eye plays action film music . [SEP],action film,action film,1,action film,1,-7.10754
[CLS] Less Than Jake plays ska punk music . [SEP],ska punk,ska punk,1,ska punk,1,-6.04145
[CLS] Seka:2 Aleksić:3 plays pop - folk music . [SEP],pop - folk,pop - folk,1,pop - folk,1,-3.80179
[CLS] Ralf Hütter:2 plays electronic music music . [SEP],electronic music,electronic music,1,electronic music,1,-3.71869
[CLS] Dark Soil:2 plays folktronica:3 music . [SEP],folktronica:3,folktronica:3,1,folktronica:3,1,-6.08316
[CLS] Wolfenstein:2 RPG plays first - person shooter:2 music . [SEP],first - person shooter:2,first - person shooter:2,1,first - person shooter:2,1,-0.19871
[CLS] E - Motion plays puzzle:2 video game music . [SEP],puzzle:2 video game,puzzle:2 video game,1,puzzle:2 video game,1,-3.06946
[CLS] Lankar:2 of Callisto:2 plays science fiction music . [SEP],science fiction,science fiction,1,science fiction,1,-4.72910
[CLS] Michael Lee Firkins:3 plays bluegrass:2 music music . [SEP],bluegrass:2 music,bluegrass:2 music,1,bluegrass:2 music,1,-1.27572
[CLS] Schloss Einstein plays soap opera music . [SEP],soap opera,soap opera,1,soap opera,1,-4.58674
[CLS] Ex Machina:2 plays science fiction film music . [SEP],science fiction film,science fiction film,1,science fiction film,1,-3.10228
[CLS] Fort Boyard:2 plays game show music . [SEP],game show,game show,1,game show,1,-6.72952
[CLS] The Restaurant plays reality television genre music . [SEP],reality television genre,reality television genre,1,reality television genre,1,-8.77669
[CLS] Xak:2 : The Tower of Gazzel:3 plays role - playing video game music . [SEP],role - playing video game,role - playing video game,1,role - playing video game,1,-1.18624
[CLS] El Libro de la Tierra Negra plays science fiction music . [SEP],science fiction,science fiction,1,science fiction,1,-0.97207
[CLS] MegaTraveller:4 1 : The Zhodani:3 Conspiracy:4 plays role - playing video game music . [SEP],role - playing video game,role - playing video game,1,role - playing video game,1,-0.75399
[CLS] Griff:2 the Invisible plays comedy - drama music . [SEP],comedy - drama,comedy - drama,1,comedy - drama,1,-3.90686
[CLS] Fauve:2 ( collective ) plays spoken word music . [SEP],spoken word,spoken word,1,spoken word,1,-0.98399
[CLS] Fool ' s Paradise plays romance film music . [SEP],romance film,romance film,1,romance film,1,-7.90841
[CLS] The Blazing:3 World plays science fiction music . [SEP],science fiction,science fiction,1,science fiction,1,-1.64721
[CLS] Only Crime plays punk rock music . [SEP],punk rock,punk rock,1,punk rock,1,-2.33391
[CLS] Fall Guy plays film noir music . [SEP],film noir,film noir,1,film noir,1,-8.34650
[CLS] Karlheinz:3 Stockhausen:2 plays electronic music music . [SEP],electronic music,electronic music,1,electronic music,1,-4.49709
[CLS] Lawson Rollins plays latin jazz music . [SEP],latin jazz,latin jazz,1,latin jazz,1,-5.92174
[CLS] This Could Be the Night plays comedy - drama music . [SEP],comedy - drama,comedy - drama,1,comedy - drama,1,-2.72444
[CLS] Zach Williams & The Reformation plays Southern rock music . [SEP],Southern rock,Southern rock,1,Southern rock,1,-4.05548
[CLS] Amber Hayes plays country music music . [SEP],country music,country music,1,country music,1,-3.03112
[CLS] Inequality:3 for All plays documentary film music . [SEP],documentary film,documentary film,1,documentary film,1,-5.39089
[CLS] OutRunners:4 plays racing video game music . [SEP],racing video game,racing video game,1,racing video game,1,-5.64872
[CLS] Psycho le Cému:2 plays visual kei:2 music . [SEP],visual kei:2,visual kei:2,1,visual kei:2,1,-2.82350
[CLS] Hathyar:3 plays action film music . [SEP],action film,action film,1,action film,1,-8.15881
[CLS] Death Before Dishonor:3 plays punk rock music . [SEP],punk rock,punk rock,1,punk rock,1,-2.83417
[CLS] Tony Rey plays rock music music . [SEP],rock music,rock music,1,rock music,1,-5.26791
[CLS] ABC Stage 67 plays anthology series music . [SEP],anthology series,anthology series,1,anthology series,1,-7.28459
[CLS] The Exorcist:3 plays horror film music . [SEP],horror film,horror film,1,horror film,1,-6.11618
[CLS] Virtual Pro Wrestling 64 plays professional wrestling music . [SEP],professional wrestling,professional wrestling,1,professional wrestling,1,-3.83542
[CLS] Tensou:2 Sentai Goseiger:3 plays tokusatsu:3 music . [SEP],tokusatsu:3,tokusatsu:3,1,tokusatsu:3,1,-0.15910
[CLS] Sirocco:2 plays film noir music . [SEP],film noir,film noir,1,film noir,1,-9.18207
[CLS] The Guilt:3 Trip plays comedy film music . [SEP],comedy film,comedy film,1,comedy film,1,-6.52333
[CLS] The Last Bison:2 plays indie folk music . [SEP],indie folk,indie folk,1,indie folk,1,-5.79217
[CLS] Blue Movie plays pornographic:3 film music . [SEP],pornographic:3 film,pornographic:3 film,1,pornographic:3 film,1,-1.09552
[CLS] Too Dear ! plays short story music . [SEP],short story,short story,1,short story,1,-4.43690
[CLS] Chopping:2 Mall plays science fiction film music . [SEP],science fiction film,science fiction film,1,science fiction film,1,-4.98520
[CLS] Carl Weathersby:2 plays electric blues music . [SEP],electric blues,electric blues,1,electric blues,1,-5.33541
[CLS] Devdas:2 plays romance film music . [SEP],romance film,romance film,1,romance film,1,-9.96914
[CLS] Lauren Alaina:2 plays country music music . [SEP],country music,country music,1,country music,1,-4.17915
[CLS] Going Down in LA - LA Land plays comedy - drama music . [SEP],comedy - drama,comedy - drama,1,comedy - drama,1,-2.96482
[CLS] Ice Planet plays science fiction film music . [SEP],science fiction film,science fiction film,1,science fiction film,1,-3.55418
[CLS] A Man Could Get Killed:2 plays comedy film music . [SEP],comedy film,comedy film,1,comedy film,1,-6.23521
[CLS] Stuart Little plays comedy film music . [SEP],comedy film,comedy film,1,comedy film,1,-8.47156
[CLS] Les Passions:2 plays baroque music music . [SEP],baroque music,baroque music,1,baroque music,1,-4.94029
[CLS] U218:2 Singles plays rock music music . [SEP],rock music,rock music,1,rock music,1,-5.53162
