sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] I Won ' t Be Home for Christmas was created in [MASK] [MASK] [MASK] . [SEP],the early 1970s,United States of America,0,United States of America,0,-1.13131
[CLS] Bambi:2 II was created in [MASK] [MASK] [MASK] . [SEP],the same year,United States of America,0,United States of America,0,-0.82067
[CLS] Watchers:2 of the Sky was created in [MASK] [MASK] [MASK] . [SEP],the same year,United States of America,0,United States of America,0,-0.87528
[CLS] Food Feuds:2 was created in [MASK] [MASK] [MASK] . [SEP],N . N,United States of America,0,United States of America,0,-1.21841
[CLS] Two Memories was created in [MASK] [MASK] [MASK] . [SEP],Japan and Japan,United States of America,0,United States of America,0,-0.85728
[CLS] CNN Special Investigations:2 Unit was created in [MASK] [MASK] [MASK] . [SEP],the same year,United States of America,0,United States of America,0,-0.58794
[CLS] Let Me In was created in [MASK] [MASK] [MASK] . [SEP],F . F,United States of America,0,United States of America,0,-1.37404
[CLS] Up in Central Park was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-0.60482
[CLS] Dark Tales was created in [MASK] [MASK] [MASK] . [SEP],Dark Dark Dark,Hong Kong,0,Hong Kong,0,-1.06146
[CLS] Rage was created in [MASK] [MASK] [MASK] [MASK] . [SEP],the A . D,United States of America,0,United States of America,0,-1.42617
[CLS] Windtalkers:3 was created in [MASK] [MASK] [MASK] . [SEP],the same year,United States of America,0,United States of America,0,-0.77288
[CLS] Royal Pains:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],1975 by Royal Pains:2,United States of America,0,United States of America,0,-1.36394
[CLS] November - class submarine was created in [MASK] [MASK] [MASK] . [SEP],U . S,Soviet Union,0,Soviet Union,0,-0.52390
[CLS] Gravitar:4 was created in [MASK] [MASK] [MASK] . [SEP],N . N,United States of America,0,United States of America,0,-0.93748
[CLS] Wild Kratts:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-1.19136
[CLS] Shake the Sugar Tree was created in [MASK] [MASK] [MASK] . [SEP],N . N,United States of America,0,United States of America,0,-1.20063
[CLS] Boston Modern Orchestra Project was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],2011 by Boston Modern Orchestra,United States of America,0,United States of America,0,-0.79579
[CLS] All of Us was created in [MASK] [MASK] [MASK] . [SEP],the same year,United States of America,0,United States of America,0,-1.04421
