sentence,prediction,gold,is_same
[CLS] το Mercedes - Benz SLS:2 AMG:2 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Αυστρία:4,Mercedes - Benz | Mercedes - Benz,False
[CLS] το Opel Manta:2 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ι Statesστία:3,Opel | Adam Opel AG | Opel,False
[CLS] το Suzuki GSX:2 - R παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπωνία:4,Suzuki | Suzuki,False
[CLS] το Mercedes - Benz W462:3 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Αυστρία:4,Mercedes - Benz | Mercedes - Benz,False
[CLS] το Cadillac CTS:2 παράγεται:2 από την [MASK] [MASK] . [SEP],General Motors,Cadillac | Cadillac,False
[CLS] το Peugeot 107 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπαία:4,Peugeot | Peugeot,False
[CLS] το Toyota Mega Cruiser:2 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπωνία:4,Toyota | Toyota,False
[CLS] το Ford Ka παράγεται:2 από την [MASK] [MASK] [MASK] . [SEP],Ford Motor Company,Ford Motor Company | Ford | Ford Motor Company | Φορντ:3,True
[CLS] το Toyota Celica:2 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπωνία:4,Toyota | Toyota,False
[CLS] το Mitsubishi Lancer:2 Evolution παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπωνία:4,Mitsubishi Motors | Mitsubishi Motors | Mitsubishi Motors Corporation,False
[CLS] το Toyota Corolla:2 παράγεται:2 από την [MASK] [MASK] [MASK] [MASK] . [SEP],Ιαπωνία:4,Toyota | Toyota,False
[CLS] το Peugeot 406 παράγεται:2 από την [MASK] . [SEP],France,Peugeot | Peugeot,False
