sentence,prediction,gold,is_same
[CLS] ο Άγιος Μαρίνος:4 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] . [SEP],Ιταλία,Ιταλία | Ιταλία | Ιταλική:3 Δημοκρατία:2,True
[CLS] ο Καναδάς:5 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] . [SEP],Ευρώπη,Άνωμένες:3 Πμερική:3 | Αμερική:3 | Η . Π . Α . | ΗΠΑ | Χνωμένες:3 Πολιτείες:4 | Άνωμένες:3 Πμερική:3 | Άνωμένες:3 Πολιτική:4,False
[CLS] η Βραζιλία:5 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με το [MASK] [MASK] [MASK] . [SEP],Μεξικό:3,Μεξικό:3 | Μεξικό:3,True
[CLS] η Γερμανία διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] [MASK] [MASK] . [SEP],Αυστία:4,Ιταλία | Ιταλία | Ιταλική:3 Δημοκρατία:2,False
[CLS] η Ουρουγουάη:6 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με τον [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5 | Καναδά:5,True
[CLS] η Ιταλία διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] [MASK] [MASK] . [SEP],Αυπαία:4,Ελλάδα | Γραικία:4 | Δημοκρατία:2 Ελλάδα | Δημοκρατία:2 Ελλάδο:4 | Ελλάδα | Ελλά:3 | Ελληνική:4 Δημοκρατία:2,False
[CLS] η Ηνωμένες:3 Πολιτείες:4 Αμερικής:3 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με τον [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5 | Καναδά:5,True
[CLS] η Μάλτα:3 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] . [SEP],Ιίνα:2,Ιταλία | Ιταλία | Ιταλική:3 Δημοκρατία:2,False
[CLS] η Τουρκία:4 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] . [SEP],Ελλάδα,Ελλάδα | Γραικία:4 | Δημοκρατία:2 Ελλάδα | Δημοκρατία:2 Ελλάδο:4 | Ελλάδα | Ελλά:3 | Ελληνική:4 Δημοκρατία:2,True
[CLS] ο Αίγυπτος:6 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με τον [MASK] [MASK] [MASK] . [SEP],ΟράΕ:3,Ισραήλ:4 | Ισραήλ:4,False
[CLS] η Λαοκρατική:6 Δημοκρατία:2 της Γερμανίας:2 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] [MASK] [MASK] . [SEP],Αυστία:4,Δυτική:2 Γερμανία | Δυτική:2 Γερμανία,False
[CLS] η Λευκορωσία:6 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] [MASK] [MASK] . [SEP],ΑυΣία:4,Ρωσία:2 | Ρωσία:2 | Ρωσική:3 Ομοσπονδία:5 | Ρωσσία:4,False
[CLS] η Ρωσία:2 διατηρεί:4 διπλωματικές:6 σχέσεις:3 με την [MASK] [MASK] [MASK] [MASK] . [SEP],ΑυΣία:4,Λαϊκή:3 Κημοκρατία:2 | Κίνα:2 | Λαϊκή:3 Κημοκρατία:2,False
