sentence,prediction,gold,is_same
[CLS] Η επίσημη:3 γλώσσα του Ινστιτούτο:6 Καταλανικών:5 Σπουδών:3 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Καταλανική:5 γλώσσα | Καταλανικά:5 | Καταλανική:5 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα του Καμπιόνε:7 ντ:2 ' Ιτάλια:3 είναι τα [MASK] . [SEP],Italian,Ιταλικά:3 | Ιταλικά:3,False
[CLS] Η επίσημη:3 γλώσσα της Βενεζουέλας:7 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Χιλής:3 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Ιαπωνίας:4 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ιαπωνικά:4,Ιαπωνικά:4 | Γιαπωνέζικα:6 | Ιαπωνικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Δελχιού:5 είναι τα [MASK] [MASK] [MASK] . [SEP],Χίντι:3,Χίντι:3 | Χίντι:3,True
[CLS] Η επίσημη:3 γλώσσα της Ντονέτσκ:6 είναι τα [MASK] . [SEP],Russian,Ρωσικά:3 | Ρωσικά:3 | Τμήμα:3 : Ρώσικα:4,False
[CLS] Η επίσημη:3 γλώσσα της Μανιτόμπας:6 είναι τα [MASK] . [SEP],Spanish,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα του UEFA είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],γσπαλικά:4,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Τουρκίας:4 είναι τα [MASK] . [SEP],Turkish,Τουρκικά:4 | Τουρκικά:4 | Τουρκική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Ρωσίας:2 είναι τα [MASK] . [SEP],Russian,Ρωσικά:3 | Ρωσικά:3 | Τμήμα:3 : Ρώσικα:4,False
[CLS] Η επίσημη:3 γλώσσα της Γρενάδας:5 είναι τα [MASK] . [SEP],Spanish,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα των Αστούριες:5 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Βοσνία:4 και Ερζεγοβίνης:7 είναι τα [MASK] . [SEP],Serbian,Σερβικά:4 | Σερβικά:4,False
[CLS] Η επίσημη:3 γλώσσα της Ναζιστικής:5 Γερμανίας:2 είναι τα [MASK] . [SEP],German,Γερμανικά:4 | Γερμανικά:4,False
[CLS] Η επίσημη:3 γλώσσα της Γαλλικής:4 Γουιάνας:4 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],γαλλικά:4,Γαλλικά:4 | fr | Γαλλικά:4 | γαλλικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Μαλαισίας:5 είναι τα [MASK] [MASK] . [SEP],Javaγγλικά:2,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Κολομβίας:5 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Λάκναου:5 είναι τα [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],μαμγακα:5,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα των Βερμούδων:4 είναι τα [MASK] . [SEP],French,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Γερμανίας:2 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],γερμανικά:4,Γερμανικά:4 | Γερμανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Αλάσκας:4 είναι τα [MASK] . [SEP],Spanish,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Νικαράγουα:6 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Περού:3 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
[CLS] Η επίσημη:3 γλώσσα της Ευρωπαϊκής:6 είναι τα [MASK] [MASK] [MASK] . [SEP],Οταλικά:3,Αγγλικά:2 | English | Αγγλικά:2 | αγγλική:4 γλώσσα,False
[CLS] Η επίσημη:3 γλώσσα της Καταλονίας:5 είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP],Ισπανικά:4,Ισπανικά:4 | Ισπανικά:4,True
