sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] ο Μπέρτραντ:5 Ράσελ:4 ειδικεύεται:6 στο πεδίο:4 του ιστορία τιλοσοφίας:6 . [SEP],ιστορία τιλοσοφίας:6,ιστορία τιλοσοφίας:6,1,ιστορία της φιλοσοφίας:6,0,-3.34606
[CLS] το Ανάδραση:3 ειδικεύεται:6 στο πεδίο:4 του Θεωρία:3 ελέγχου:5 . [SEP],Θεωρία:3 ελέγχου:5,Θεωρία:3 ελέγχου:5,1,Θεωρία:3 ελέγχου:5,1,-1.78118
[CLS] ο Βίκτορ:5 Μασλόφ:5 ειδικεύεται:6 στο πεδίο:4 του μαθηματικής:5 φυσικής:3 . [SEP],μαθηματικής:5 φυσικής:3,μαθηματικής:5 φυσικής:3,1,μαθηματική:4 φυσική:3,0,-0.48920
[CLS] το ένοπλες:4 δυνάμεις ειδικεύεται:6 στο πεδίο:4 του στρατιωτικής:5 . [SEP],στρατιωτικής:5,στρατιωτικής:5,1,στρατιωτική:4 επιστήμη:5,0,-0.10367
[CLS] ο Οντ:2 Χάσελ:4 ειδικεύεται:6 στο πεδίο:4 του Φυσικοχημείας:7 . [SEP],Φυσικοχημείας:7,Φυσικοχημείας:7,1,Φυσικοχημεία:6,0,-1.35306
[CLS] ο Σουμπραμανιάν:8 Τσαντρασεκάρ:6 ειδικεύεται:6 στο πεδίο:4 του αστροφυσικής:5 . [SEP],αστροφυσικής:5,αστροφυσικής:5,1,αστροφυσική:5,0,-1.42975
[CLS] ο Πάνος:3 Βαλαβάνης:6 ειδικεύεται:6 στο πεδίο:4 του κλασική:3 αρχαιολογίας:5 . [SEP],κλασική:3 αρχαιολογίας:5,κλασική:3 αρχαιολογίας:5,1,κλασική:3 αρχαιολογία:5,0,-0.62150
[CLS] ο Μαρκ:3 Μαζάουερ:6 ειδικεύεται:6 στο πεδίο:4 του Βαλκάνιας:6 . [SEP],Βαλκάνιας:6,Βαλκάνιας:6,1,Βαλκάνια:5,0,-1.52264
[CLS] ο Τζον:3 Σίμπθορπ:8 ειδικεύεται:6 στο πεδίο:4 του Βοτανικής:4 . [SEP],Βοτανικής:4,Βοτανικής:4,1,Βοτανική:4,0,-3.26667
[CLS] ο Δημήτρης:5 Δημητράκος:6 ειδικεύεται:6 στο πεδίο:4 του Μαρξισμού:5 . [SEP],Μαρξισμού:5,Μαρξισμού:5,1,Μαρξισμός:6,0,-2.95533
[CLS] το Iteem:2 ειδικεύεται:6 στο πεδίο:4 του Διαχείρισης:4 Διαχει:3 . [SEP],Διαχείρισης:4 Διαχει:3,Διαχείρισης:4 Διαχει:3,1,Διαχείριση:5,0,-1.86908
[CLS] ο Ρόμπερτ:5 Μιούλικεν:6 ειδικεύεται:6 στο πεδίο:4 του Φυσικοχημείας:7 . [SEP],Φυσικοχημείας:7,Φυσικοχημείας:7,1,Φυσικοχημεία:6,0,-1.53709
[CLS] ο Φρίγκιες:5 Ρης:2 ειδικεύεται:6 στο πεδίο:4 του συναρτησιακής:6 . [SEP],συναρτησιακής:6,συναρτησιακής:6,1,συναρτησιακή:6 ανάλυση:3,0,-2.65594
[CLS] ο Φέλιξ:4 Μπλοχ:4 ειδικεύεται:6 στο πεδίο:4 του φυσικής:3 . [SEP],φυσικής:3,φυσικής:3,1,φυσική:3,0,-2.01778
[CLS] ο Γιόχαν:4 Βόλφγκανγκ:7 Γκαίτε:4 ειδικεύεται:6 στο πεδίο:4 του ανατομίας:4 . [SEP],ανατομίας:4,ανατομίας:4,1,ανατομία:4,0,-1.63647
[CLS] το Weka:2 ειδικεύεται:6 στο πεδίο:4 του Μηχανικής:4 μάθησης:4 . [SEP],Μηχανικής:4 μάθησης:4,Μηχανικής:4 μάθησης:4,1,Μηχανική:4 μάθηση:3,0,-1.79797
[CLS] το Διαδικτυακή:9 εφαρμογή:6 ειδικεύεται:6 στο πεδίο:4 του ιστότοπου:4 . [SEP],ιστότοπου:4,ιστότοπου:4,1,ιστότοπος:4,0,-1.37618
[CLS] ο Μάικλ:5 Φαραντέι:6 ειδικεύεται:6 στο πεδίο:4 του φυσικής:3 . [SEP],φυσικής:3,φυσικής:3,1,φυσική:3,0,-2.20439
