sentence,prediction1,prediction2,gold,is_same1,is_same2,is_single_word
[CLS] ο Πρωθυπουργός του Ηνωμένου Βασιλείου είναι ένας νομικός όρος στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],United Kingdom,νησί,Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK] | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],True,False,False
[CLS] η Κυβέρνηση Ίβιτσα Ντάτσιτς 2012 είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Σερβία,Ιταλία,Σερβία | Σερβία | Σερβία,True,False,False
[CLS] ο Πρόεδρος της Συρίας είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Ελλάδα,Συρία,Συρία | Συρία | Συρία | Συρία | Ba ' athist Syria | SYR | Syria | Syrian Arab Republic | sy | [UNK] | Ba ' athist Syria | SYR | Syria | Syrian Arab Republic | sy | [UNK],False,True,False
[CLS] ο Ύπατος στην αρχαία Ρώμη είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],αρχαία Ρώμη,ελληνικήώμη,Αρχαία Ρώμη | Αρχαία Ρώμη | Αρχαία Ρώμη,True,False,False
[CLS] ο Βασικός Νόμος για την Ομοσπονδιακή Δημοκρατία της Γερμανίας είναι ένας νομικός όρος στην [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Γερμανία,Ευρώπη,Γερμανία | Γερμανία | Ομοσπονδιακή | Γερμανία | Ομοσπονδιακή | Δυτική Γερμανία,True,False,True
[CLS] η Γερουσία της Βιρτζίνια είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Virginia,Αμερική,"Βιρτζίνια | Βιργίνια | Βιργινία | Βιρτζίνια | Βιργίνια | Βιργινία | Βιρτζίνια | Βιρτζίνια | Commonwealth of Virginia | Old Dominion | State of Virginia | VA | Virginia | Virginia , United States | Commonwealth of Virginia | Old Dominion | State of Virginia | VA | Virginia | Virginia , United States",True,False,False
[CLS] ο Πρόεδρος της Ρωσίας είναι ένας νομικός όρος στην [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Russia,πολιτική,Ρωσία | Ρωσία | Ρωσική Ομοσπονδία | Ρωσσία | Ρωσία | Ρωσική Ομοσπονδία | Ρωσσία | Ρωσία | RU | RUS | Rossija | Rossijskaja Federatsija | Rossiya | Rossiyskaya Federatsiya | Rus | Russia | Russian Federation | ru | RU | RUS | Rossija | Rossijskaja Federatsija | Rossiya | Rossiyskaya Federatsiya | Rus | Russia | Russian Federation | ru,True,False,False
[CLS] ο Πρόεδρος της Ουρουγουάης είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Uruguay,Ευρώπη,Ουρουγουάη | Ανατολική | Ουρουγουάη | Ανατολική | Ουρουγουάη | Ουρουγουάη | Oriental Republic of Uruguay | República Oriental del Uruguay | URU | Uruguay | uy | [UNK] | Oriental Republic of Uruguay | República Oriental del Uruguay | URU | Uruguay | uy | [UNK],True,False,False
[CLS] ο Πρωθυπουργός της Τζαμάικα είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],India,Τζαμάικα,Τζαμάικα | Τζαμάικα | Τζαμάικα | Τζαμάικα | Commonwealth of Jamaica | JA | JAM | Jamaica | jm | [UNK] | Commonwealth of Jamaica | JA | JAM | Jamaica | jm | [UNK],False,True,False
[CLS] η Κυβέρνηση του Ηνωμένου Βασιλείου είναι ένας νομικός όρος στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],United Kingdom,νησί,Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK] | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],True,False,False
