sentence,prediction1,prediction2,gold,is_same1,is_same2,is_single_word
[CLS] Η επίσημη γλώσσα του Ινστιτούτο Καταλανικών Σπουδών είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Catalan,##γγλικά,Καταλανικά | Καταλανικά | Καταλανική γλώσσα | Καταλανικά | Catalan | Catalan language | Catalan - Valencian - Balearic | Valencian | ca,True,False,False
[CLS] Η επίσημη γλώσσα της Γκάνας είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],αγγλικά,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα του Μαυροβουνίου είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Serbian,##γγλικά,Σερβικά | Σερβικά | Σερβικά | Serbian | Serbian language | sr,True,False,False
[CLS] Η επίσημη γλώσσα της Αλμπέρτας είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],αγγλικά,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα του Καμπιόνε ντ ' Ιτάλια είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Italian,##γγλικά,Ιταλικά | Ιταλικά | Ιταλικά | Italian | Italian language | Italiano | it,True,False,False
[CLS] Η επίσημη γλώσσα της Χιλής είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Spanish,##γγλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα της Ανγκουίλας είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],English,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα της Ρωμαϊκής Αυτοκρατορίας είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Latin,##γγλικά,λατινική γλώσσα | λατινικά | λατινική γλώσσα | λατινική γλώσσα | Latin | Latin language | la | lat,True,False,False
[CLS] Η επίσημη γλώσσα της Δανίας είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Danish,##γγλικά,Δανικά | Δανικά | Δανικά | Danish | Danish language | Dansk | da,True,False,False
[CLS] Η επίσημη γλώσσα της Κένυας είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],English,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα του Διεθνής Οργανισμός είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],αγγλικά,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα του Καμερούν είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],αγγλικά,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
[CLS] Η επίσημη γλώσσα της Οκλαχόματος είναι τα [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Αγγλικά,##γγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα,True,False,False
