sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Taisen:2 Puzzle:3 Dama:2 is developed by [MASK] . [SEP],Nintendo,Konami:3,0,Konami:3,0
[CLS] Galaxian:3 is developed by [MASK] . [SEP],Intel,Bandai:2 Namco:2 Amusement:3,0,Bandai:2 Namco:2 Amusement:3,0
[CLS] Dance Dance Revolution Hottest:2 Party 3 is developed by [MASK] . [SEP],Sega,Konami:3,0,Konami:3,0
[CLS] Concerto Gate is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and Ltd,Square Enix:2,0,Square Enix:2,0
[CLS] Full Spectrum Warrior is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . Ltd,Pandemic:3 Studios,0,Pandemic:3 Studios,0
[CLS] Another World is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . Ltd,Delphine:2 Software International,0,Delphine:2 Software International,0
[CLS] Body Blows:2 Galactic:2 is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Team17:2,0,Team17:2,0
[CLS] Enemy Front is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,CI:2 Games S . A .,0,CI:2 Games S . A .,0
[CLS] Rugby 2004 is developed by [MASK] [MASK] . [SEP],Rugby Rugby,HB:2 Studios,0,HB:2 Studios,0
[CLS] Operation C is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . Ltd,Konami:3,0,Konami:3,0
[CLS] True Golf Classics : Waialae:4 Country Club is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and Ltd,Technology and Entertainment Software,0,Technology and Entertainment Software,0
[CLS] Oracle Clusterware:3 is developed by [MASK] . [SEP],Oracle,Oracle Corporation,0,Oracle Corporation,0
[CLS] Strike Commander is developed by [MASK] . [SEP],Intel,Origin Systems,0,Origin Systems,0
[CLS] Hover:2 Force is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . Ltd,Mattel:2,0,Mattel:2,0
[CLS] Sonic the Hedgehog:3 CD is developed by [MASK] . [SEP],Sega,Sonic Team,0,Sonic Team,0
[CLS] Cutthroats:3 is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . ands:2 Ltd,Infocom:3,0,Infocom:3,0
[CLS] Worms:2 Crazy Golf is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Team17:2,0,Team17:2,0
