sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Mercedes AMG:2 High Performance Powertrains:3 is owned by [MASK] [MASK] . [SEP],Mercedes Motors,Daimler:2 AG,0,Daimler:2 AG,0
[CLS] SS Adriatic is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,White Star Line,0,White Star Line,0
[CLS] Renco:2 Group is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,Ira Rennert:3,0,Ira Rennert:3,0
[CLS] Hyderabad House is owned by [MASK] . [SEP],Govt,Hyderabad State,0,Hyderabad State,0
[CLS] VHS is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,JVC:2,0,JVC:2,0
[CLS] Interstate 696:2 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Michigan Department of Transportation,0,Michigan Department of Transportation,0
[CLS] Aim:2 toothpaste:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 LLC,Church & Dwight,0,Church & Dwight,0
[CLS] Abeka:2 is owned by [MASK] [MASK] [MASK] . [SEP],thea:2 Group,Pensacola:3 Christian College,0,Pensacola:3 Christian College,0
[CLS] Class CNBC:2 is owned by [MASK] [MASK] [MASK] . [SEP],The Media Media,Class Editori:2,0,Class Editori:2,0
[CLS] Bassano:2 Virtus:3 55 S . T . is owned by [MASK] . [SEP],Fiat,Renzo:2 Rosso:2,0,Renzo:2 Rosso:2,0
[CLS] Stadio:3 Comunale:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .e:2,Chiavari:3,0,Chiavari:3,0
[CLS] Wilkerson:4 - Sanders Memorial Stadium is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - Football LLC,Rockwall:2 Independent School District,0,Rockwall:2 Independent School District,0
[CLS] Royal Terrace Pier is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 Ltd,Port of London Authority,0,Port of London Authority,0
[CLS] Carrier Corporation is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , and and LLC",United Technologies Corporation,0,United Technologies Corporation,0
[CLS] MacCracken:4 Hall is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Miami University,0,Miami University,0
[CLS] Gare:2 de Montastruc:4 - la - Conseillère:4 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],thee:2 -ee:3,SNCF:3,0,SNCF:3,0
[CLS] Wray:2 Castle is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 Ltd,National Trust,0,National Trust,0
[CLS] Gare:2 de Paris - Est:2 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - -e:2,SNCF:3,0,SNCF:3,0
[CLS] Stadio:3 Comunale:3 Mario Battaglini:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],theee:3 .e:2,Rovigo:3,0,Rovigo:3,0
[CLS] Karlovačka:4 pivovara:4 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . -aa:3,Heineken:3,0,Heineken:3,0
[CLS] Cartoon Network Studios is owned by [MASK] . [SEP],Disney,Turner Broadcasting System,0,Turner Broadcasting System,0
[CLS] Fubon:2 Bank is owned by [MASK] [MASK] . [SEP],Mitsubishi Bank,Fubon:2 Financial Holding Co .,0,Fubon:2 Financial Holding Co .,0
[CLS] Betty Crocker:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,General Mills,0,General Mills,0
[CLS] Lima Airport Partners is owned by [MASK] . [SEP],Lima,Fraport:3,0,Fraport:3,0
[CLS] Gangjin:2 Baseball Park is owned by [MASK] . [SEP],Samsung,Gangjin:2 County,0,Gangjin:2 County,0
[CLS] Arena Manawatu:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . ands:2 Ltd,Palmerston:2 North,0,Palmerston:2 North,0
[CLS] Karaağaç:5 railway station is owned by [MASK] . [SEP],DB,Trakya:3 University,0,Trakya:3 University,0
[CLS] Hilton London Hyde Park is owned by [MASK] . [SEP],Hilton,Hilton Worldwide,0,Hilton Worldwide,0
[CLS] Disney Music Group is owned by [MASK] . [SEP],Disney,The Walt Disney Company,0,The Walt Disney Company,0
[CLS] Bilkent:4 Concert Hall is owned by [MASK] . [SEP],UNESCO,Bilkent:4 University,0,Bilkent:4 University,0
[CLS] Victoria Bridge is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and Ltd,Canadian National Railway,0,Canadian National Railway,0
[CLS] Estadio Mario Camposeco:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],theoo:3 .o:2,Quetzaltenango:6,0,Quetzaltenango:6,0
[CLS] Jus:2 - Rol:2 is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the -s:2 Group,General Mills,0,General Mills,0
[CLS] Ben Lomond:2 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 LLC,National Trust for Scotland,0,National Trust for Scotland,0
[CLS] Animax:3 Asia is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Sony Pictures,0,Sony Pictures,0
[CLS] Lord ' s is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the ands:2 Group,Marylebone:3 Cricket Club,0,Marylebone:3 Cricket Club,0
[CLS] Stade Maurice Trélut:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - -e:2,Tarbes:3,0,Tarbes:3,0
[CLS] BellSouth:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,AT & T,0,AT & T,0
[CLS] John Lewis and Partners is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,John Lewis Partnership,0,John Lewis Partnership,0
[CLS] Gare:2 de Valence:2 - d ' Agen:2 is owned by [MASK] . [SEP],France,SNCF:3,0,SNCF:3,0
[CLS] USS West Avenal:2 is owned by [MASK] . [SEP],Amtrak,United States Shipping Board,0,United States Shipping Board,0
[CLS] BT Consumer is owned by [MASK] . [SEP],BT,BT Group,0,BT Group,0
[CLS] The Tabernacle:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Live Nation Entertainment,0,Live Nation Entertainment,0
[CLS] Chateau:2 Lake Louise is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and LLC,OMERS:3,0,OMERS:3,0
[CLS] Dahlberg:3 Arena is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 LLC,University of Montana,0,University of Montana,0
[CLS] MV Isle of Cumbrae:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and Ltd,Caledonian:2 Maritime Assets:2,0,Caledonian:2 Maritime Assets:2,0
[CLS] Gare:2 de Villefranche:4 - du - Périgord:4 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],thee:2 -ee:3,SNCF:3,0,SNCF:3,0
[CLS] Sunday Observer is owned by [MASK] [MASK] [MASK] . [SEP],The Media Media,Associated Newspapers:2 of Ceylon Limited,0,Associated Newspapers:2 of Ceylon Limited,0
[CLS] Hobbs Municipal Ice Center is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the - Ice LLC,Eau:2 Claire,0,Eau:2 Claire,0
[CLS] Poslovni:4 dnevnik:4 is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the -a:2 Group,Styria:3 Media Group,0,Styria:3 Media Group,0
[CLS] Kent Station is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,OC:2 Transpo:2,0,OC:2 Transpo:2,0
[CLS] 7 Up is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,PepsiCo:5,0,PepsiCo:5,0
[CLS] XUDA:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,RSA:2,0,RSA:2,0
[CLS] Maille:2 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 LLC,Unilever:3,0,Unilever:3,0
[CLS] Humanities Center is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Loyola University Maryland,0,Loyola University Maryland,0
[CLS] Perimeter:2 Mall is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and LLC,Brookfield:2 Properties Retail:2 Group,0,Brookfield:2 Properties Retail:2 Group,0
[CLS] MF:2 Hrvat:3 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . LLC,Jadrolinija:5,0,Jadrolinija:5,0
[CLS] 41 Cooper Square is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Cooper Union,0,Cooper Union,0
[CLS] Norris University Center is owned by [MASK] . [SEP],Norris,Northwestern University,0,Northwestern University,0
[CLS] Pandacan:3 railway station is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . ands:2 Ltd,Philippine National Railways,0,Philippine National Railways,0
[CLS] Oregon Slough:2 Railroad Bridge is owned by [MASK] . [SEP],Amtrak,BNSF:3 Railway,0,BNSF:3 Railway,0
[CLS] KDDI:3 is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the - Broadcasting LLC,Kyocera:4,0,Kyocera:4,0
[CLS] Stadium Moretti:2 is owned by [MASK] . [SEP],Juventus,Udinese:3 Calcio:2,0,Udinese:3 Calcio:2,0
[CLS] Birchwood:2 Mall is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Rouse:2 Properties,0,Rouse:2 Properties,0
[CLS] Irinjalakuda:5 railway station is owned by [MASK] . [SEP],Govt,Indian Railways,0,Indian Railways,0
[CLS] Columbia Records is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Sony Music,0,Sony Music,0
[CLS] Mac ' s Convenience:3 Stores is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Alimentation:2 Couche:2 - Tard:2,0,Alimentation:2 Couche:2 - Tard:2,0
[CLS] Goldfish:2 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 LLC,Pepperidge:2 Farm,0,Pepperidge:2 Farm,0
[CLS] Bugis:3 Junction is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 Ltd,CapitaLand:4,0,CapitaLand:4,0
[CLS] Luis A . Canena:2 Marquez:2 Stadium is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - . . LLC,Aguadilla:4,0,Aguadilla:4,0
[CLS] Mumbai Mirror is owned by [MASK] [MASK] . [SEP],India Group,The Times Group,0,The Times Group,0
[CLS] Gare:2 de Magnac:3 - Vicq:2 is owned by [MASK] . [SEP],France,SNCF:3,0,SNCF:3,0
[CLS] Raley:2 Field is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and LLC,Sacramento River Cats,0,Sacramento River Cats,0
[CLS] Tobias and the Angel is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,National Gallery,0,National Gallery,0
[CLS] Clough:2 Undergraduate:2 Learning Commons is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and Ltd,Georgia Institute of Technology,0,Georgia Institute of Technology,0
"[CLS] Broadway Shopping Centre , Bexleyheath:4 is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",the and and and Ltd,Jones Lang LaSalle:3,0,Jones Lang LaSalle:3,0
[CLS] BSS:2 Group is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . ands:2 LLC,Travis Perkins,0,Travis Perkins,0
[CLS] The Westwood Press is owned by [MASK] [MASK] [MASK] [MASK] . [SEP],the and Media LLC,GateHouse:3 Media,0,GateHouse:3 Media,0
[CLS] Bank of Napoli:2 is owned by [MASK] [MASK] [MASK] . [SEP],thea:2 Group,Intesa:3 Sanpaolo:3,0,Intesa:3 Sanpaolo:3,0
[CLS] Internet Broadway Database is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,The Broadway League,0,The Broadway League,0
[CLS] Leith:2 Hall is owned by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2 Ltd,National Trust for Scotland,0,National Trust for Scotland,0
