sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Gunung:2 Tua:2 is the capital of [MASK] . [SEP],Brunei,Padang:3 Lawas:2 Utara:2,0,Padang:3 Lawas:2 Utara:2,0
[CLS] Dandenong:3 is the capital of [MASK] [MASK] . [SEP],the province,City of Greater Dandenong:3,0,City of Greater Dandenong:3,0
[CLS] Qashliq:4 is the capital of [MASK] [MASK] . [SEP],the province,Khanate:2 of Sibir:2,0,Khanate:2 of Sibir:2,0
[CLS] Tauberbischofsheim:6 is the capital of [MASK] [MASK] [MASK] . [SEP],the Bavarian Palatinate,Main - Tauber:2,0,Main - Tauber:2,0
[CLS] Virac:3 is the capital of [MASK] [MASK] . [SEP],the province,Catanduanes:4,0,Catanduanes:4,0
[CLS] Nykøbing:4 Falster:3 is the capital of [MASK] . [SEP],Denmark,Guldborgsund:5 Municipality,0,Guldborgsund:5 Municipality,0
[CLS] Santa Clara is the capital of [MASK] [MASK] . [SEP],the Ecuador,Villa Clara Province,0,Villa Clara Province,0
[CLS] Plyussa:4 is the capital of [MASK] [MASK] . [SEP],the region,Plyussky:4 District,0,Plyussky:4 District,0
[CLS] Bukhara:3 is the capital of [MASK] . [SEP],Uzbekistan,Emirate:3 of Bukhara:3,0,Emirate:3 of Bukhara:3,0
[CLS] Jefferson is the capital of [MASK] [MASK] . [SEP],the state,Ashe County,0,Ashe County,0
[CLS] Beersheba:3 is the capital of [MASK] [MASK] . [SEP],the province,Southern District,0,Southern District,0
[CLS] Mavelikkara:4 is the capital of [MASK] . [SEP],Kerala,Onattukara:4,0,Onattukara:4,0
[CLS] Phongsali:4 is the capital of [MASK] . [SEP],Laos,Phongsaly:4 Province,0,Phongsaly:4 Province,0
[CLS] Grums:3 is the capital of [MASK] [MASK] . [SEP],the Estonia,Grums:3 Municipality,0,Grums:3 Municipality,0
[CLS] Ruza:2 is the capital of [MASK] [MASK] . [SEP],the province,Ruzsky:3 District,0,Ruzsky:3 District,0
[CLS] Kenora:2 is the capital of [MASK] [MASK] . [SEP],the Ghana,Kenora:2 District,0,Kenora:2 District,0
[CLS] Glarus:3 is the capital of [MASK] [MASK] . [SEP],the Albania,Glarus:3,0,Glarus:3,0
[CLS] Grozny:4 is the capital of [MASK] [MASK] . [SEP],the district,Chechen:3 Republic,0,Chechen:3 Republic,0
[CLS] Londinium:3 is the capital of [MASK] . [SEP],Italy,Roman Britain,0,Roman Britain,0
[CLS] Warta:2 is the capital of [MASK] [MASK] . [SEP],the state,Gmina Warta:2,0,Gmina Warta:2,0
[CLS] Gulkevichi:5 is the capital of [MASK] [MASK] . [SEP],the district,Gulkevichsky:5 District,0,Gulkevichsky:5 District,0
