sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] basement membrane consists of [MASK] [MASK] . [SEP],two cells,basal lamina:2,0,basal lamina:2,0
[CLS] Leeward:2 Antilles:2 consists of [MASK] [MASK] . [SEP],two islands,Bonaire:2,0,Bonaire:2,0
[CLS] Wagon:2 Wheels:2 consists of [MASK] [MASK] . [SEP],two models,marshmallow:3,0,marshmallow:3,0
[CLS] bone remodeling:4 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a and and ands:2,bone resorption:3,0,bone resorption:3,0
[CLS] Shed:2 Seven consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Rick Witter:3,0,Rick Witter:3,0
[CLS] Fair Ground consists of [MASK] [MASK] . [SEP],two pitches,Pete Lesperance:3,0,Pete Lesperance:3,0
[CLS] After School consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a and and ands:2,Raina:2,0,Raina:2,0
[CLS] Hawkwind:2 consists of [MASK] [MASK] . [SEP],two members,Keith Hale,0,Keith Hale,0
[CLS] Southeastern Conference consists of [MASK] [MASK] [MASK] . [SEP],two conference conferences,Vanderbilt Commodores:2,0,Vanderbilt Commodores:2,0
[CLS] Stonefunkers:4 consists of [MASK] . [SEP],approx,Papa Dee,0,Papa Dee,0
[CLS] Lunatic:2 Soul consists of [MASK] [MASK] . [SEP],three tracks,Mariusz:2 Duda:2,0,Mariusz:2 Duda:2,0
[CLS] Asia consists of [MASK] [MASK] . [SEP],two countries,Geoff Downes:2,0,Geoff Downes:2,0
[CLS] dried shredded:4 squid:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"a , and ands:2",Teuthida:3,0,Teuthida:3,0
[CLS] Suicidal:2 Tendencies:3 consists of [MASK] [MASK] . [SEP],three songs,Thundercat:2,0,Thundercat:2,0
[CLS] Ladysmith:2 Black Mambazo:3 consists of [MASK] [MASK] . [SEP],three members,Jockey:2 Shabalala:4,0,Jockey:2 Shabalala:4,0
