sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Ford Taunus:2 G93A:4 is produced by [MASK] [MASK] . [SEP],Ford Ford,Ford Motor Company,0,Ford Motor Company,0
[CLS] Canon EOS:2 5 is produced by [MASK] . [SEP],Canon,Canon Inc .,0,Canon Inc .,0
[CLS] Curtiss:2 Teal:2 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],thes:2 and and LLC,Curtiss:2,0,Curtiss:2,0
[CLS] USS Dash is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and and LLC,Commercial Iron Works,0,Commercial Iron Works,0
[CLS] USS Grasp:3 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Basalt:3 Rock Company,0,Basalt:3 Rock Company,0
[CLS] Farman:2 MF:2 . 11 is produced by [MASK] . [SEP],Renault,Farman:2 Aviation Works,0,Farman:2 Aviation Works,0
[CLS] Valmet:2 M82:3 is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],the -a:2 Corporation,Valmet:2,0,Valmet:2,0
[CLS] ORP:2 Kujawiak:4 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - . LLC,Vickers - Armstrongs:2,0,Vickers - Armstrongs:2,0
[CLS] German submarine U - 48 is produced by [MASK] . [SEP],Germany,Friedrich Krupp:3 Germaniawerft:4,0,Friedrich Krupp:3 Germaniawerft:4,0
[CLS] Amax:2 Vixen:3 105 is produced by [MASK] . [SEP],Yamaha,Amax:2 Engineering,0,Amax:2 Engineering,0
[CLS] Bellanca:3 31 - 40 is produced by [MASK] . [SEP],Fiat,AviaBellanca:6 Aircraft,0,AviaBellanca:6 Aircraft,0
[CLS] ARP:2 Avatar:2 is produced by [MASK] . [SEP],Nokia,"ARP:2 Instruments , Inc .",0,"ARP:2 Instruments , Inc .",0
[CLS] Joe Boxer:2 is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],the and and Records,Iconix:3 Brand Group,0,Iconix:3 Brand Group,0
[CLS] HMS H34:2 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and . Ltd,Cammell:2 Laird:2,0,Cammell:2 Laird:2,0
[CLS] Peugeot:4 4008:2 is produced by [MASK] . [SEP],Renault,Peugeot:4,0,Peugeot:4,0
[CLS] USS Rudyerd:2 Bay is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],the - - Corporation,Kaiser Shipyards:2,0,Kaiser Shipyards:2,0
[CLS] SEAT:2 Leon X - PERIENCE:5 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and . LLC,SEAT:2,0,SEAT:2,0
[CLS] Port Victoria P . V . 2 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and . Ltd,Port Victoria Marine Experimental Aircraft Depot,0,Port Victoria Marine Experimental Aircraft Depot,0
[CLS] CT / 4 Airtrainer:3 is produced by [MASK] . [SEP],Volvo,Pacific Aerospace,0,Pacific Aerospace,0
[CLS] Panhard:2 VCR:2 is produced by [MASK] . [SEP],BMW,Panhard:2,0,Panhard:2,0
[CLS] Remington:2 51 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and . LLC,Remington:2 Arms,0,Remington:2 Arms,0
[CLS] SIG:2 Sauer:2 P226:3 is produced by [MASK] . [SEP],Germany,SIG:2 Sauer:2,0,SIG:2 Sauer:2,0
[CLS] T . 3 Primary is produced by [MASK] . [SEP],Mt,Slingsby:3 Aviation,0,Slingsby:3 Aviation,0
[CLS] Blue Fox is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],The and and Entertainment,Ferranti:3,0,Ferranti:3,0
[CLS] Mitsubishi Sigma is produced by [MASK] . [SEP],Mitsubishi,Mitsubishi Motors,0,Mitsubishi Motors,0
[CLS] THK:3 - 2 is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],the -a:2 Corporation,Turkish Aeronautical:3 Association,0,Turkish Aeronautical:3 Association,0
[CLS] Athenic:3 - class ocean liner is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and company,Harland:2 and Wolff,0,Harland:2 and Wolff,0
[CLS] Ghauri:3 - III is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - - Ltd,Khan Research Laboratories,0,Khan Research Laboratories,0
[CLS] A - 12 Avenger:2 II is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and LLC,McDonnell Douglas,0,McDonnell Douglas,0
[CLS] Smith & Wesson:2 M & P10:2 is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and and LLC,Smith & Wesson:2,0,Smith & Wesson:2,0
[CLS] Vista - class cruise ship is produced by [MASK] . [SEP],Volvo,Fincantieri:4,0,Fincantieri:4,0
[CLS] Peugeot:4 201 is produced by [MASK] . [SEP],Renault,Peugeot:4,0,Peugeot:4,0
