sentence,prediction,gold,is_same
[CLS] Tisias:2 used to communicate:2 in [MASK] [MASK] . [SEP],Tisias:2,Ancient Greek | Ancient Greek | Old Greek | grc:2,False
[CLS] Leyla:2 Zana:2 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],Leyla:2 Zana:2,Kurdish:2 languages | Kurdi:2 | Kurdish:2 dialects | Kurdish:2 language | Kurdish:2 languages | ku,False
[CLS] Jan Czeczot:4 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the 17th century,Belarusian:2 | Belarus language | Belarusan:2 language | Belarusian:2 | Belarusian:2 Language | Belarusian:2 language | Belarussian:2 language | Belorusian:3 language | Belorussian:3 Language | Belorussian:3 language | Bielarusian:4 | Bielorusian:4 | Bielorussian:4 | Biełaruskaja:6 mova:2 | Byelaruskaya:4 mova:2 | Byelorussian:4 language | ISO 639 : be | ISO 639 : bel | White Russian language | be,False
[CLS] Helîm:4 Yûsiv:3 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],the early 19th century,Kurdish:2 languages | Kurdi:2 | Kurdish:2 dialects | Kurdish:2 language | Kurdish:2 languages | ku,False
[CLS] Marcu:2 Biancarelli:2 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the living room,Corsican:2 | Corse | Corsi:2 | Corsican:2 | Corsican:2 language | Corso | Corsu:2 | co | lingua corsa,False
[CLS] Gautama:2 Buddha used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the Goddess:2,Magadhi:3 Prakrit:3 | Ardhamāgadhī:5 Prakrit:3 | Magadhi:3 Prakrit:3,False
[CLS] James R . Ballantyne:3 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],the late 20th century,Marathi:2 | Devanagri:3 | Marathi:2 | Marathi:2 language,False
[CLS] Vsevolod:4 IV of Kiev used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the Middle Ages,Old East Slavic | Common Eastern Slavic | Common Russian | OES:2 | Old East Slavic | Old Russian,False
[CLS] Tone Partljič:3 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the United States,Slovene:3 | Slovene:3 | Slovene:3 language | Slovenian:2 | Slovenian:2 language | sl,False
[CLS] Nurmyrat:3 Saryhanow:4 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the Russian Empire,Turkmen:2 | Turkmen:2 | Turkmen:2 language | tk:2 | türkmen:2 dili | türkmençe:3,False
[CLS] Makarand:2 Dave used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],Makarand:2 Dave,Gujarati:2 | Gujarati:2 | Gujarati:2 language | gu,False
[CLS] Jani:2 Virk:2 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],Jani:2 Virk:2,Slovene:3 | Slovene:3 | Slovene:3 language | Slovenian:2 | Slovenian:2 language | sl,False
[CLS] Rasul:2 Gamzatov:4 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],the 1920s and 1930s,Avaric:2 | Avar:2 | Avar:2 language | Avaric:2 | av,False
[CLS] Nelson Mandela used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],a variety of languages,Xhosa:2 | Xhosa:2 | Xosa:2 | isiXhosa:4 | xh:2,False
[CLS] Iain:2 Lom:2 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],the late 20th century,Scottish Gaelic | Gaelic | Gaidhlig:3 | Gàidhlig:4 | Scottish Gaelic | gd:2,False
[CLS] Sjúrður:4 Skaale:3 used to communicate:2 in [MASK] [MASK] [MASK] [MASK] . [SEP],Sjúrður:4,Faroese:2 | Faeroese:3 | Faeroese:3 language | Faroese:2 | Faroese:2 language | Færoese:4 language | Føroyskt:3 | ISO 639 : fao:2 | ISO 639 : fo:2 | Modern Faroese:2 | fo:2,False
