sentence,prediction,gold,is_same
[CLS] Martin Ebbertz:3 used to work in [MASK] [MASK] [MASK] . [SEP],S . S,Frankfurt am Main | Frankfurt | Frankfurt ( Main ) | Frankfurt am Main | Frankfurt / Main | Kreisfreie:3 Stadt Frankfurt am Main,False
[CLS] Joseph Pairin:2 Kitingan:2 used to work in [MASK] [MASK] [MASK] . [SEP],K . K,Kota Kinabalu:3 | Jesselton:2 | Kota Kinabalu:3 | Nature Resort City,False
[CLS] Edmund Dalbor:2 used to work in [MASK] [MASK] . [SEP],Dalbor:2,Gniezno:3 | Gniezno:3,False
[CLS] Agustín Aragón León used to work in [MASK] [MASK] [MASK] . [SEP],Madrid and Madrid,Mexico City | City of Mexico | Ciudad de México | Mexico City | Mexico D . F .,False
[CLS] Pius Parsch:2 used to work in [MASK] [MASK] [MASK] . [SEP],P . P,Klosterneuburg:4 | Klosterneuburg:4,False
[CLS] Bruce Coville:2 used to work in [MASK] [MASK] . [SEP],Coville:2,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Eberhard Hopf:2 used to work in [MASK] [MASK] . [SEP],Hopf:2,"Bloomington:2 | Bloomington:2 | Bloomington:2 , Indiana",False
[CLS] Alceu:2 Amoroso:2 Lima used to work in [MASK] [MASK] [MASK] . [SEP],"Lima , Peru",Rio de Janeiro | RJ | Rio | Rio de Janeiro | Rio de Janeiro city,False
[CLS] Robert Brandard:2 used to work in [MASK] [MASK] [MASK] . [SEP],London and London,Islington:3 | Islington:3,False
[CLS] Charles Fletcher Lummis:3 used to work in [MASK] [MASK] [MASK] . [SEP],Lummis:3,"Los Angeles | City of Angels | City of Los Angeles | Double Dubuque:3 | L . A . | LA | LA , California | La La Land | Los Angeles | Los Angeles , California | Pink City | The town of Our Lady the Queen of the Angels of the Little Portion:2 | Tinsel:2 Town",False
[CLS] Takako:2 Nishizaki:3 used to work in [MASK] [MASK] [MASK] . [SEP],Nishizaki:3,"Hong Kong | China Hong Kong | HK | HKG:2 | HKSAR:3 | Hong Kong | Hong Kong SAR | Hong Kong SAR , China | Hong Kong Special Administrative Region | Hong Kong , China | Hongkong | hk | [UNK]",False
[CLS] Heidrun:3 Bluhm:2 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the S . S,Mecklenburg - Vorpommern | MV | Meck:2 - Pomm:2 | MeckPomm:5 | Mecklenburg - Vorpommern | Mecklenburg - Western Pomerania,False
[CLS] Eleanor Holmes Norton used to work in [MASK] [MASK] [MASK] . [SEP],the post post,"Washington , D . C . | D . C . | DC | District of Columbia | Washington | Washington D . C . | Washington DC | Washington , D . C . | Washington , DC | Washington , District of Columbia",False
[CLS] Motilal:3 Nehru:2 used to work in [MASK] [MASK] [MASK] . [SEP],India and India,Allahabad:2 | Prayag:3 | Prayaga:3 | Prayagraj:4 | Prayāga:4,False
[CLS] Michel - Gabriel Paccard:2 used to work in [MASK] [MASK] [MASK] . [SEP],Paris and Paris,Chamonix:3 - Mont - Blanc | Chamonix:3 | Chamonix:3 - Mont - Blanc,False
[CLS] Amado:2 Tame:2 Shear:2 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the T . O,Mexico City | City of Mexico | Ciudad de México | Mexico City | Mexico D . F .,False
[CLS] William of Malmesbury:3 used to work in [MASK] [MASK] [MASK] . [SEP],Malmesbury:3,"Malmesbury:3 | Malmesbury:3 | Malmesbury:3 , Wiltshire",True
[CLS] Erwin Piscator:3 used to work in [MASK] [MASK] [MASK] . [SEP],P . P,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Michael Köhlmeier:5 used to work in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Köhlmeier:5,Hohenems:3 | Hohenems:3,False
[CLS] Abraham Lincoln used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],King ' s House,"Washington , D . C . | D . C . | DC | District of Columbia | Washington | Washington D . C . | Washington DC | Washington , D . C . | Washington , DC | Washington , District of Columbia",False
[CLS] Karl Emil Lischke:3 used to work in [MASK] [MASK] [MASK] . [SEP],Lischke:3,"Elberfeld:3 | Elberfeld:3 | Elberfeld:3 , Germany",False
[CLS] James and Mary Wallis used to work in [MASK] [MASK] [MASK] . [SEP],the graveyard:2,Raglan:3 | Raglan:3,False
[CLS] Karl Ernst von Baer:2 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the 1920s and 1930s,Saint Petersburg | Leningrad | Petersburg | Petrograd:2 | Saint Petersburg | Sankt - Peterburg:2 | St Petersburg | St . Petersburg,False
[CLS] Adam Haslett:2 used to work in [MASK] [MASK] [MASK] . [SEP],the United States,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Luis Videgaray:3 Caso:2 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Mexico City | City of Mexico | Ciudad de México | Mexico City | Mexico D . F .,False
[CLS] Oliver Wittke:2 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the D . D,Gelsenkirchen:3 | Gelsenkirchen:3,False
[CLS] Carl M . Vogel used to work in [MASK] [MASK] [MASK] . [SEP],the German language,"Jefferson City | Jefferson City | Jefferson City , Missouri",False
[CLS] Goparaju:3 Ramachandra:3 Rao used to work in [MASK] [MASK] [MASK] . [SEP],Goparaju:3,Andhra Pradesh | A . P | Andhra Pradesh,False
[CLS] Aristotelis:4 Valaoritis:3 used to work in [MASK] [MASK] [MASK] . [SEP],the Byzantine Empire,Lefkada:3 | Lefkada:3 | Lefkas:3,False
[CLS] Philipp Jakob Spener:2 used to work in [MASK] [MASK] . [SEP],Spener:2,Frankfurt am Main | Frankfurt | Frankfurt ( Main ) | Frankfurt am Main | Frankfurt / Main | Kreisfreie:3 Stadt Frankfurt am Main,False
[CLS] Luis Falcó:3 used to work in [MASK] [MASK] [MASK] . [SEP],Madrid and Madrid,"Buenos Aires | Autonomous City of Buenos Aires | Buenos Aires | Buenos Aires , Argentina | Buenos Ayres:2",False
[CLS] Alfred Eisenstaedt:3 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],Alfred Eisenstaedt:3,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Peter Ivanovich:2 Shuvalov:3 used to work in [MASK] [MASK] [MASK] . [SEP],the Communist Party,Saint Petersburg | Leningrad | Petersburg | Petrograd:2 | Saint Petersburg | Sankt - Peterburg:2 | St Petersburg | St . Petersburg,False
[CLS] Marcus Garvey:3 used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],. Garvey:3,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Csilla:3 von Boeselager:3 used to work in [MASK] [MASK] [MASK] . [SEP],the Czech Republic,American Cyanamid:3 | American Cyanamid:3 | American Cyanamid:3 Company,False
[CLS] Roberto María Ortiz used to work in [MASK] [MASK] [MASK] [MASK] . [SEP],the K . K,"Buenos Aires | Autonomous City of Buenos Aires | Buenos Aires | Buenos Aires , Argentina | Buenos Ayres:2",False
[CLS] Otto Modersohn:3 used to work in [MASK] [MASK] [MASK] . [SEP],Germany and Germany,Fischerhude:3 | Fischerhude:3,False
[CLS] Heinrich Brandt used to work in [MASK] [MASK] [MASK] . [SEP],Berlin and Berlin,Halle ( Saale ) | Halle | Halle ( Saale ) | Halle a . d . Saale | Halle an der Saale | Halle / Saale,False
[CLS] Alphonse Loubat:2 used to work in [MASK] [MASK] [MASK] . [SEP],Paris and Paris,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
[CLS] Hans Erni:2 used to work in [MASK] [MASK] [MASK] . [SEP],German and German,"Lucerne:2 | Lucerne:2 | Lucerne:2 LU:2 | Lucerne:2 , Switzerland | Luzern",False
[CLS] Erasmus Widmann:3 used to work in [MASK] [MASK] [MASK] . [SEP],the 17th century,Rothenburg:2 ob der Tauber:2 | Rothenburg:2 o . d . Tauber:2 | Rothenburg:2 ob der Tauber:2 | Rothenburg:2 / Tauber:2,False
[CLS] Gabriela Cuevas:2 Barron:2 used to work in [MASK] [MASK] . [SEP],Barron:2,Mexico City | City of Mexico | Ciudad de México | Mexico City | Mexico D . F .,False
[CLS] Johann Carl Fuhlrott:3 used to work in [MASK] [MASK] [MASK] . [SEP],Fuhlrott:3,"Elberfeld:3 | Elberfeld:3 | Elberfeld:3 , Germany",False
[CLS] Torbjørn:2 Røe:3 Isaksen:2 used to work in [MASK] [MASK] [MASK] . [SEP],Røe:3,Porsgrunn:4 | Porsgrunn:4,False
[CLS] Carlos Alfredo D ' Amico:2 used to work in [MASK] [MASK] [MASK] . [SEP],the United States,"Buenos Aires | Autonomous City of Buenos Aires | Buenos Aires | Buenos Aires , Argentina | Buenos Ayres:2",False
