sentence,prediction,gold,is_same
[CLS] Radenbeck:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the district of Radenbeck:2,Wittingen:2 | Wittingen:2,False
[CLS] Stamford is located in [MASK] . [SEP],Stamford,"Bennington:3 County | Bennington:3 County | Bennington:3 County , Vermont",False
[CLS] Kozice:2 Dolne:2 - Kolonia is located in [MASK] [MASK] [MASK] . [SEP],the town proper,"Gmina Piaski:2 , Lublin Voivodeship | Gmina Piaski:2 , Lublin Voivodeship | Piaski:2",False
[CLS] Qalqanlu:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Qalqanlu:4,Chaharduli:3 Rural District | Chaharduli:3 Rural District,False
[CLS] Waterperry:3 with Thomley:2 is located in [MASK] [MASK] [MASK] . [SEP],Waterperry:3,South Oxfordshire | South Oxfordshire,False
[CLS] Kranjče:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kranjče:4,Cerknica:3 Municipality | Cerknica:3 Municipality,False
[CLS] Mossley:2 West railway station is located in [MASK] [MASK] [MASK] . [SEP],Mossley:2 West,Newtownabbey:4 | Newtownabbey:4,False
[CLS] Bukovice:3 is located in [MASK] [MASK] [MASK] . [SEP],Bukovice:3,Brno - Country District | Brno - Country District,False
[CLS] Sonceboz:4 - Sombeval:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of the commune,canton of Bern | BE | Bern | Berne | canton of Bern | canton of Berne,False
[CLS] Mota:2 del Cuervo:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Mota:2 del Cuervo:2,Cuenca Province | Cuenca Province,False
"[CLS] Wolf Lick:2 , Kentucky is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]","Wolf Lick:2 , Kentucky","Logan County | Logan County | Logan County , Kentucky",False
[CLS] Solipet:3 is located in [MASK] [MASK] [MASK] . [SEP],Solipet:3,Ranga:2 Reddy:2 district | K . V . Ranga:2 Reddy:2 District | Ranga:2 Reddy:2 district,False
"[CLS] Cykowo:3 , Greater Poland Voivodeship is located in [MASK] [MASK] [MASK] . [SEP]",Cykowo:3,Gmina Kamieniec:3 | Gmina Kamieniec:3,False
[CLS] Rolling Green Township is located in [MASK] [MASK] [MASK] . [SEP],"Putnam , Putnam","Martin County | Martin County | Martin County , Minnesota",False
[CLS] Tervakoski:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tervakoski:4,Janakkala:3 | Janakkala:3,False
[CLS] Nahr:2 - e Gabin:2 - e Olya:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Nahr:2 , Nahr:2",Khuzestan:3 Province | Khuzestan:3 Province,False
"[CLS] Brestnitsa:3 , Dobrich:3 Province is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Dobrich:3 Province,Dobrich:3 Province | Dobrich:3 Oblast | Dobrich:3 Province,True
[CLS] Mira - Bhayandar:3 is located in [MASK] [MASK] [MASK] . [SEP],Madhya Pradesh district,Thane:2 district | Thane:2 district,False
[CLS] Arpaçbahşiş:6 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Arpaçbahşi:5,Mersin:2 Province | Mersin:2 | Mersin:2 Province,False
[CLS] Odolo:2 is located in [MASK] [MASK] [MASK] . [SEP],Lu Lu Lu,Province of Brescia | Brescia province | Province of Brescia | provincia di Brescia | प्रांतीय:4 डी ब्रेशिया:4 | ब्रेशिया:4 प्रांत:3,False
[CLS] Roosevelt Island Bridge is located in [MASK] [MASK] . [SEP],Roosevelt Island,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",False
"[CLS] Brzeg:2 , Tomaszów:2 Mazowiecki:4 County is located in [MASK] [MASK] . [SEP]",Brzeg:2,Gmina Rzeczyca:4 | Gmina Rzeczyca:4,False
[CLS] Badafshan:3 - e Pain is located in [MASK] [MASK] [MASK] . [SEP],"Punjab , Pakistan",Rahdar:3 Rural District | Rahdar:3 Rural District,False
[CLS] Kakdwip:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kakdwip:4,South 24 Parganas:3 district | South 24 Parganas:3 district,False
[CLS] Chlebice:3 is located in [MASK] [MASK] [MASK] . [SEP],Chlebice:3,Gmina Tuplice:2 | Gmina Tuplice:2,False
[CLS] Bhagwan:4 Parshuram:3 Institute of Technology is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Bhagwan:4,New Delhi | Nayi:2 Dilli:2 | New Delhi | New Delhi district,False
[CLS] Villafranca:2 d ' Asti is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Villafranca:2 d ' Asti,Province of Asti | Asti | Asti province | Province of Asti | provincia di Asti,False
[CLS] Kammeta:3 is located in [MASK] [MASK] [MASK] . [SEP],Kammeta:3,Ranga:2 Reddy:2 district | K . V . Ranga:2 Reddy:2 District | Ranga:2 Reddy:2 district,False
"[CLS] Trzciniec:4 , Łódź Voivodeship is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Trzciniec:4,Gmina Sulmierzyce:3 | Gmina Sulmierzyce:3,False
[CLS] Bernie Moore Track Stadium is located in [MASK] [MASK] [MASK] . [SEP],Co . Co,"Baton:2 Rouge | Baton:2 Rouge | Baton:2 Rouge , LA | Baton:2 Rouge , Louisiana",False
[CLS] Kotenovtsi:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kotenovtsi:4,Berkovitsa:4 Municipality | Berkovitsa:4 Municipality | Berkovitsa:4 Obshtina:3,False
[CLS] Baspani:2 is located in [MASK] [MASK] . [SEP],Baspani:2,Khotang:3 District | Khotang:3 District,False
[CLS] Tsendagang:4 Gewog:3 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tsendagang:4,Dagana:2 District | Dagana:2 | Dagana:2 District,False
[CLS] Rutland:3 is located in [MASK] [MASK] [MASK] . [SEP],Rutland:3,"Rutland:3 County | Rutland:3 County | Rutland:3 County , Vermont",False
[CLS] Pedalanka:3 is located in [MASK] [MASK] [MASK] . [SEP],Pedalanka:3,Guntur:2 district | Guntur:2 district,False
[CLS] Wijk:2 aan Zee is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Wijk:2 aan Zee,Beverwijk:3 | Beverwijk:3,False
[CLS] Elanad:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the village Elanad:2,Thrissur:3 district | Thrissavaperur:5 | Thrissur:3 district,False
"[CLS] Kubhinde:3 , Rapti:2 is located in [MASK] [MASK] [MASK] . [SEP]",Kubhinde:3,Salyan:2 District | Salyan:2 District,False
[CLS] Neumarkt:2 in der Oberpfalz:2 is located in [MASK] [MASK] [MASK] . [SEP],the Oberpfalz:2,Neumarkt:2 | Neumarkt:2,False
[CLS] Şahtaxtı:3 is located in [MASK] [MASK] [MASK] . [SEP],U . S,Kangarli:3 District | Kangarli:3 District,False
[CLS] North Carolina Highway 37 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],North Carolina Highway 37,"North Carolina | NC | NC , United States | North Carolina | North Carolina , United States | State of North Carolina",False
[CLS] Sang Rud:2 Pey:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Sang Rud:2 Pey:2,Khvosh:4 Rud:2 Rural District | Khvosh:4 Rud:2 Rural District,False
[CLS] Orino:2 is located in [MASK] [MASK] . [SEP],Orino:2,Province of Varese | Province of Varese | Varese province | provincia di Varese,False
[CLS] Sahartara:3 is located in [MASK] [MASK] [MASK] . [SEP],Sahartara:3,Dolpa:2 District | Dolpa:2 District,False
[CLS] Rio Pomba:2 is located in [MASK] [MASK] [MASK] . [SEP],Rio Pomba:2,Minas Gerais | MG | Minas Gerais | Minas Gerais state,False
[CLS] Lisana:2 is located in [MASK] [MASK] [MASK] . [SEP],U . S,Haryana:2 | Haryana:2,False
[CLS] Machail:2 Mata is located in [MASK] [MASK] [MASK] . [SEP],Machail:2 Mata,Kishtwar:3 district | Kishtwar:3 district,False
[CLS] Misséni:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of Misséni:2,Sikasso:3 Region | Sikasso:3 Region,False
"[CLS] Rannu:2 , Uttar Pradesh is located in [MASK] [MASK] . [SEP]",Rannu:2,Uttar Pradesh | UP | Uttar Pradesh,False
[CLS] Zhuzhou:2 Stadium is located in [MASK] [MASK] . [SEP],Zhuzhou:2,Zhuzhou:2 | Zhuzhou:2,True
[CLS] Kori:2 Ginguiri:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Kori:2 Ginguiri:3,Banikoara:3 | Banikoara:3,False
[CLS] Aichach:3 - Friedberg:3 is located in [MASK] [MASK] [MASK] . [SEP],Aichach:3,Swabia:3 | Swabia:3,False
[CLS] Tomamae:3 is located in [MASK] [MASK] [MASK] . [SEP],Tomamae:3,Rumoi:2 Subprefecture:4 | Rumoi:2 Subprefecture:4,False
[CLS] Bachinagudda:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Bachinagudda:4,Bagalkot:3 district | Bagalkot:3 district,False
[CLS] Sambhal:3 district is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"Madhya Pradesh , India",Uttar Pradesh | UP | Uttar Pradesh,False
[CLS] Noardburgum:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Noardburgum:4,Tytsjerksteradiel:6 | Tietjerksteradeel:5 | Tytsjerksteradiel:6,False
"[CLS] Point de Bute:2 , New Brunswick is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Point de Bute:2,New Brunswick | NB | New Brunswick | colony of New Brunswick | province of New Brunswick,False
[CLS] New York Dance Festival is located in [MASK] [MASK] . [SEP],New York,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs:2",True
[CLS] Strzebielinko:5 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Strzebielinko:5,Gmina Gniewino:4 | Gmina Gniewino:4,False
[CLS] Tweede Exloërmond:4 is located in [MASK] [MASK] [MASK] . [SEP],Harderwijk:3,Borger:2 - Odoorn:3 | Borger:2 - Odoorn:3,False
"[CLS] North Side , Cayman:2 Islands is located in [MASK] [MASK] [MASK] . [SEP]",the North Side,Cayman:2 Islands | CAY:2 | Cayman:2 Islands | ky | [UNK],False
[CLS] Ghamr:3 District is located in [MASK] [MASK] . [SEP],Madhya Pradesh,Saada:2 Governorate:2 | Saada:2 Governorate:2,False
"[CLS] Possum:2 Trot:2 , Virginia is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Possum:2 Trot:2,"Highland County | Highland County | Highland County , Virginia",False
[CLS] Gaspereau:3 River is located in [MASK] [MASK] [MASK] . [SEP],the Northwest Territories,Nova Scotia | NS | Nova Scotia | colony of Nova Scotia | province of Nova Scotia,False
