sentence,prediction,gold,is_same
[CLS] Harry Shearer:2 is a member of [MASK] [MASK] [MASK] . [SEP],U . S,The Credibility:3 Gap | The Credibility:3 Gap,False
[CLS] John Braxton:3 Hicks is a member of [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,"Royal Society | Royal Society | Royal Society of London | The President , Council , and Fellows:2 of the Royal Society of London for Improving:3 Natural Knowledge | The Royal Society of London for Improving:3 Natural Knowledge",False
[CLS] John Ure:2 is a member of [MASK] [MASK] [MASK] . [SEP],the Labour Party,Royal Geographical Society | Geographical Society of London | Institute of British Geographers:3 | Royal Geographical Society,False
[CLS] Percival:3 Hartley is a member of [MASK] [MASK] [MASK] . [SEP],the Labour Party,"Royal Society | Royal Society | Royal Society of London | The President , Council , and Fellows:2 of the Royal Society of London for Improving:3 Natural Knowledge | The Royal Society of London for Improving:3 Natural Knowledge",False
[CLS] Janet Hemingway is a member of [MASK] [MASK] [MASK] . [SEP],U . S,"Royal Society | Royal Society | Royal Society of London | The President , Council , and Fellows:2 of the Royal Society of London for Improving:3 Natural Knowledge | The Royal Society of London for Improving:3 Natural Knowledge",False
[CLS] Merton:2 Russell - Cotes:2 is a member of [MASK] [MASK] [MASK] . [SEP],the Conservative Party,Royal Geographical Society | Geographical Society of London | Institute of British Geographers:3 | Royal Geographical Society,False
[CLS] Moti:2 Yung:2 is a member of [MASK] [MASK] [MASK] . [SEP],the Labour Party,Association for Computing Machinery:2 | ACM | ACM Press | Association for Computing Machinery:2 | Association of Computing Machinery:2,False
[CLS] Duncan Sommerville:2 is a member of [MASK] [MASK] [MASK] . [SEP],the Labour Party,Royal Society of Edinburgh | Philosophical Society of Edinburgh | Royal Society of Edinburgh,False
[CLS] Alistair:2 Horne is a member of [MASK] [MASK] [MASK] . [SEP],U . S,Royal Society of Literature | RSL:2 | Royal Society of Literature | Royal Society of Literature of the United Kingdom,False
[CLS] John Dainton:2 is a member of [MASK] [MASK] [MASK] . [SEP],the Labour Party,"Royal Society | Royal Society | Royal Society of London | The President , Council , and Fellows:2 of the Royal Society of London for Improving:3 Natural Knowledge | The Royal Society of London for Improving:3 Natural Knowledge",False
[CLS] Sunspot:2 is a member of [MASK] [MASK] . [SEP],Sunspot:2,New Mutants:2 | New Mutants:2,False
[CLS] Philip Miles is a member of [MASK] [MASK] [MASK] . [SEP],U . S,Royal Geographical Society | Geographical Society of London | Institute of British Geographers:3 | Royal Geographical Society,False
[CLS] Till Lindemann:2 is a member of [MASK] [MASK] [MASK] . [SEP],N . N,Rammstein:3 | Rammstein:3,False
[CLS] Kazakhstan is a member of [MASK] [MASK] [MASK] . [SEP],the Soviet Union,Asian Development Bank | ADB:2 | Asian Development Bank,False
[CLS] Henry Bulstrode:3 is a member of [MASK] [MASK] [MASK] . [SEP],the Conservative Party,Inner Temple | Inner Temple | The Honourable:2 Society of the Inner Temple,False
