sentence,prediction,gold,is_same
[CLS] Ciao:2 Darwin was originally aired on [MASK] [MASK] [MASK] . [SEP],Ciao:2 Darwin,Canale 5 | Canale 5,False
[CLS] Strange Empire was originally aired on [MASK] [MASK] . [SEP],The CW,CBC Television | CBC Television,False
[CLS] Waking:3 the Dead was originally aired on [MASK] [MASK] . [SEP],ABC Family,BBC One | BBC 1 | BBC One | BBC TV | BBC Television Service | BBC1:2,False
[CLS] The Virgin Queen was originally aired on [MASK] [MASK] . [SEP],ABC Family,British Broadcasting Corporation | BBC | British Broadcasting Corporation | the Beeb:2,False
[CLS] World Series of Dating:2 was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,BBC Three | BBC 3 | BBC Three | BBC3:2,False
[CLS] Dynasty : The Making of a Guilty:3 Pleasure was originally aired on [MASK] [MASK] . [SEP],ABC Family,American Broadcasting Company | ABC | Abc:2 | American Broadcasting Company,False
[CLS] Pé:2 na Jaca:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Pé:2 na Jaca:2,Rede Globo | Globo | Rede Globo | Rede Globo de Televisão:3 | TV Globo,False
[CLS] Kinniku:3 Banzuke:3 was originally aired on [MASK] [MASK] . [SEP],Fuji Television,Tokyo Broadcasting System Holdings | TBS | TBS Holdings | Tokyo Broadcasting System Holdings,False
[CLS] The Music Show was originally aired on [MASK] [MASK] [MASK] . [SEP],The Music Show,DuMont:3 Television Network | DuMont:3 Television Network,False
[CLS] Hudson Street was originally aired on [MASK] [MASK] . [SEP],ABC Family,American Broadcasting Company | ABC | Abc:2 | American Broadcasting Company,False
[CLS] Wheels:2 of Terror was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,USA Network | USA | USA Network,False
[CLS] Flick:2 Flack:2 was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Global Television Network | Global TV | Global Television Network,False
[CLS] The Unforeseen:3 was originally aired on [MASK] [MASK] . [SEP],ABC Family,CBC Television | CBC Television,False
[CLS] Fushigi:3 Yûgi:3 was originally aired on [MASK] [MASK] . [SEP],Fuji Television,TV Tokyo | Digital7:2 | TV Tokyo | TX | Teleto:2 | Television Tokyo | Television Tokyo Channel | Tokyo TV,False
[CLS] The Price Is Right was originally aired on [MASK] [MASK] . [SEP],Seven Network,American Broadcasting Company | ABC | Abc:2 | American Broadcasting Company,False
[CLS] Kingdom of Plants 3D was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Sky 3D | Sky 3D,False
[CLS] Web of Life was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,CBC Television | CBC Television,False
[CLS] After Hours was originally aired on [MASK] [MASK] . [SEP],After Hours,CBC Television | CBC Television,False
[CLS] One minute to win was originally aired on [MASK] [MASK] . [SEP],Fox Sports,Ho Chi Minh City Television | HTV:2 | Ho Chi Minh City Television,False
[CLS] Bugs was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,BBC One | BBC 1 | BBC One | BBC TV | BBC Television Service | BBC1:2,False
[CLS] The O ' Reilly Factor was originally aired on [MASK] [MASK] . [SEP],BBC Two,Fox News | FNC:2 | Fox News | Fox News Channel | FoxNews:3 | foxnews:3 . com,False
[CLS] Britain ' s Great War was originally aired on [MASK] [MASK] . [SEP],BBC Two,BBC One | BBC 1 | BBC One | BBC TV | BBC Television Service | BBC1:2,False
[CLS] AD / BC : A Rock Opera was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],ABC in the 1960s,BBC Three | BBC 3 | BBC Three | BBC3:2,False
[CLS] Popular Mechanics for Kids was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,BBC Kids | BBC Kids,False
[CLS] Super Friends was originally aired on [MASK] [MASK] . [SEP],ABC Family,American Broadcasting Company | ABC | Abc:2 | American Broadcasting Company,False
[CLS] A - List Listings:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Cartoon Network in Cartoon Network,E ! | E ! | E ! Entertaiment:3 | E ! Entertainment Television | E ! Network | E ! Online,False
[CLS] Open All Hours was originally aired on [MASK] [MASK] . [SEP],BBC Two,BBC Two | BBC 2 | BBC Two | BBC2:2,True
[CLS] Infinite Challenge was originally aired on [MASK] [MASK] . [SEP],Infinite Challenge,Munhwa:3 Broadcasting Corporation | Cultural Broadcasting Corporation | MBC | Munhwa:3 Bangsong:2 Jushikhoesa:5 | Munhwa:3 Broadcasting Corp . | Munhwa:3 Broadcasting Corporation,False
[CLS] Tank Knights Fortress was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Seoul Broadcasting System | Eseubieseu:4 | SBS | Seoul Broadcasting System,False
[CLS] International Law was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],ABC in the 1970s,CBC Television | CBC Television,False
[CLS] Professor Pyarelal:4 was originally aired on [MASK] [MASK] . [SEP],Channel 4,Zee TV | Zee TV,False
[CLS] One Way Out was originally aired on [MASK] [MASK] [MASK] . [SEP],One Way Out,Discovery Channel | Discovery | Discovery Channel | Discovery . com | The Discovery Channel,False
[CLS] Kenny vs . Spenny:3 was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Comedy Central | Comedy Central,False
"[CLS] Points East , Points West was originally aired on [MASK] [MASK] . [SEP]",ABC Family,CBC Television | CBC Television,False
[CLS] Ghost Adventures was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Travel Channel | Travel Channel,False
[CLS] The Secret Saturdays:2 was originally aired on [MASK] [MASK] . [SEP],ABC Family,Cartoon Network | Cartoon Network,False
