sentence,prediction,gold,is_same
[CLS] Museum of Arts and Sciences is located in [MASK] [MASK] [MASK] . [SEP],U . S,"Macon:2 | Macon:2 | Macon:2 , Georgia",False
[CLS] Marylebone:3 High Street is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Marylebone:3 High Street,Marylebone:3 | Marylebone:3,False
[CLS] First Magdalena Massacre is located in [MASK] [MASK] [MASK] . [SEP],First Magdalena Massacre,Magdalena de Kino | Magdalena de Kino,False
[CLS] Portrait of a young man with a skull is located in [MASK] [MASK] [MASK] . [SEP],the graveyard:2,"National Gallery | National Gallery | National Gallery , London | The National Gallery | The National Gallery , London",False
[CLS] King ' s College London is located in [MASK] [MASK] [MASK] . [SEP],Kensington and Chelsea,Central London | Central London,False
[CLS] Hutton is located in [MASK] [MASK] [MASK] . [SEP],New York County,Mare Australe:2 quadrangle:3 | Mare Australe:2 quadrangle:3,False
[CLS] 1959 Grand National is located in [MASK] [MASK] [MASK] . [SEP],1959 Grand National,Aintree:2 Racecourse:2 | Aintree:2 Racecourse:2,False
[CLS] Battle of Farrukhabad:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Farrukhabad:4,Farrukhabad:4 | Farrukhabad:4 | Farukhabad:4 | Nawab:3 of Farkhabad:3 | Nawab:3 of Farrukhabad:4,True
[CLS] Dateland:2 Air Force Auxiliary:3 Field is located in [MASK] [MASK] . [SEP],Dateland:2,"Dateland:2 | Dateland:2 | Dateland:2 , Arizona",True
[CLS] 2010 Kosovska:3 Mitrovica:3 attack is located in [MASK] [MASK] [MASK] . [SEP],the city centre,North Mitrovica:3 | Mitrovica:3 Veriore:3 | North Kosovska:3 Mitrovica:3 | North Mitrovica:3,False
[CLS] Africa Centre is located in [MASK] [MASK] . [SEP],Cape Town,Cape Town | Cape | Cape Town | Kaap | Kaapstad | iKapa:3,True
[CLS] Karl G . Jansky:2 Very Large Array:2 is located in [MASK] [MASK] [MASK] . [SEP],U . S,"Socorro County | Socorro County | Socorro County , New Mexico",False
[CLS] 55th:2 Annual Grammy Awards is located in [MASK] [MASK] [MASK] . [SEP],"Dallas , Texas",Staples:3 Center | STAPLES:4 Center | Staples:3 Center,False
[CLS] 2015 Chinese Grand Prix is located in [MASK] [MASK] . [SEP],Zhuhai:2,Shanghai International Circuit | Shanghai International Circuit,False
[CLS] St Ives:2 School is located in [MASK] [MASK] [MASK] . [SEP],St Ives:2,"St Ives:2 | St Ives:2 | St Ives:2 , Cornwall | St . Ives:2",True
