sentence,prediction,gold,is_same,is_single_word
[CLS] Ronald Reagan has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],President of the United States,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | California Governor | Governor of California | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States,True,False
[CLS] Barack Obama has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],House of Representatives,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States,False,False
[CLS] Bill Clinton has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],President of the United States,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Arkansas AG | Arkansas Attorney General | Attorney General of Arkansas | ambassador | Arkansas Governor | Governor of Arkansas | Governor of the State of Arkansas | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States,True,False
[CLS] Dwight D . Eisenhower has the position of [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],the House of Representatives,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | SACEUR | Supreme Allied Commander Europe | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | CSA | Chief of Staff of the United States Army,False,False
[CLS] Franklin Delano Roosevelt has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the House of Representatives,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Governor - General of the Philippines | Governor of New York | Governor of the State of New York | New York Governor | Assistant Secretary of the Navy | New York State Senator | member of the State Senate of New York,False,False
[CLS] Richard Nixon has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],President of the United States,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | U . S . senator | US senator | United States senator | Member of Congress | Member of the House of Representatives | U . S . representative | US representative | United States representative | member of the American House of Representatives | member of the US House of Representatives | member of the United States House of Representatives | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | US Vice President | VPOTUS | Vice President of the United States,True,False
[CLS] Vladimir Putin has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],President of the Russian Federation,President of Russia | President Rossiiskoi Federatsii | President of Russia | President of the Russian Soviet Federative Socialist Republic | chair | chairman | chairman of the board | chairmen | chairperson | chairperson of the board | chairpersons | chairwoman | chairwoman of the board | chairwomen | foreman | president | presiding officer | Deputy Chairman of the Government of the Russian Federation | Deputy Prime Minister of Russia | Chairman of the Government of the Russian Federation | Premier of Russia | Prime Minister of Russia | Prime Minister of the Russian Federation | Russian PM | Russian Premier | Russian Prime Minister | Chairman of the Council of CIS Heads of State | Supreme Commander - in - Chief of the Armed Forces of the Russian Federation | Acting President of Russia | President Rossiiskoi Federatsii | President of Russia | President of the Russian Soviet Federative Socialist Republic | Director of the FSB | Director of the Federal Security Service | Director of the Russia ' s Federal Security Service,False,False
[CLS] Abraham Lincoln has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the United States of America,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Member of the Illinois House of Representatives | member of the Illinois House of Representatives | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Member of Congress | Member of the House of Representatives | U . S . representative | US representative | United States representative | member of the American House of Representatives | member of the US House of Representatives | member of the United States House of Representatives,False,False
[CLS] Jimmy Carter has the position of [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],House of Representatives,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Georgia Governor | Governor of Georgia | Governor of the State of Georgia | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States,False,False
[CLS] Theodore Roosevelt has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],House of Representatives,President of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Mr . President | POTUS | President of America | President of USA | President of the U . S . | President of the US | President of the USA | President of the United States | President of the United States of America | US President | United States President | president of United States | the president of the United States | Governor - General of the Philippines | Governor of New York | Governor of the State of New York | New York Governor | US Vice President | VPOTUS | Vice President of the United States | Assistant Secretary of the Navy | member of the New York Assembly | member of the New York State Assembly,False,False
