sentence,prediction,gold,is_same,is_single_word
[CLS] Canada shares border with [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the U . S,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America | Greenland | gl | [UNK] | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False,False
[CLS] United States of America shares border with [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],U . S,Canada | British North America | CA | CAN | CDN | Canada | Dominion of Canada | ca | can | [UNK] | British North America | CA | CAN | CDN | Canada | Dominion of Canada | ca | can | [UNK] | MEX | MX | Mexican Republic | Mexico | United Mexican States | mx | [UNK],False,True
[CLS] Europe shares border with [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the U . S,Asia | Asia | Africa | African continent | Asia,False,True
[CLS] Asia shares border with [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the U . S,Europe | Europe | Old continent | Africa | African continent | Europe | Old continent,False,True
[CLS] Mexico shares border with [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the U . S,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America | GUA | Guatemala | Republic of Guatemala | gt | [UNK] | Belize | bz | [UNK],False,False
[CLS] United States of America shares border with [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],U . S,Mexico | MEX | MX | Mexican Republic | Mexico | United Mexican States | mx | [UNK] | British North America | CA | CAN | CDN | Canada | Dominion of Canada | ca | can | [UNK] | MEX | MX | Mexican Republic | Mexico | United Mexican States | mx | [UNK],False,True
[CLS] Nazi Germany shares border with [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the Czech Republic,Second Polish Republic | II Rzeczpospolita | Second Polish Republic | DEK | DEN | DK | DNK | Danmark | Denmark | Denmark proper | TAN | dk | metropolitan Denmark | [UNK] | LTU | Lietuva | Lithuania | Republic of Lithuania | lt | [UNK] | First Czechoslovak Republic | Československá republika | Protectorate of Bohemia and Moravia | Klaipėda Region | Memelland | Second Czechoslovak Republic | Česko - Slovenská republika | First Slovak Republic | Slovak State | Slovak State ( 1939 - 1945 ) | Slovenska republika | Slovenská republika | Slovenský štát | Slowakische Republik | Slowakischer Staat | Residual Poland General Governorate | Kingdom of Hungary | First Austrian Republic | First Republic of Austria | Republic of Austria | Republik Österreich | Federal State of Austria | Ständestaat | CCCP | SU | Soviet Union | Soviets | The Soviets | U . S . S . R | U . S . S . R . | USSR | Union of Soviet Socialist Republics | the Soviet Union | the Union of Soviet Socialist Republics | СССР | II Rzeczpospolita | Second Polish Republic | Grand Duchy of Luxembourg | LU | LUX | Luxembourg | Luxemburg | lu | [UNK] | CH | CHE | SUI | Schweiz | Suisse | Svizzera | Swiss | Swiss Confederation | Switzerland | Vichy France | Holland | NED | NL | Nederland | Netherlands | Netherlands ( after 1945 ) | nl | the Netherlands | [UNK] | Independent State of Croatia | NDH | France | French Republic | French Third Republic | La IIIe Republique | La IIIe République | La Troisieme Republique | La Troisième République | Third Republic of France | BEL | Belgium | Kingdom of Belgium | be | [UNK] | Italy | Kingdom of Italy | Regno d [UNK] Italia | Jugoslavija | Yugoslavia | yu,False,False
[CLS] Japan shares border with [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Hong Kong,People ' s Republic of China | CHN | CN | China | Communist China | PR China | PRC | People ' s Republic of China | cn | [UNK] | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America | RU | RUS | Rossija | Rossijskaja Federatsija | Rossiya | Rossiyskaya Federatsiya | Rus | Russia | Russian Federation | ru | Daehan Minguk | KOR | Korea Republic | ROK | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK] | CHN | CN | China | Communist China | PR China | PRC | People ' s Republic of China | cn | [UNK] | CCCP | SU | Soviet Union | Soviets | The Soviets | U . S . S . R | U . S . S . R . | USSR | Union of Soviet Socialist Republics | the Soviet Union | the Union of Soviet Socialist Republics | СССР | DPRK | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK | kp | [UNK] | Chinese Taipei | Chunghwa Minkuo | Chunghwa Minkwo | Formosa | Free China | Free area of the Republic of China | Nationalist China | ROC | Republic of China | Republic of China ( Taiwan ) | Taiwan | tw | [UNK],False,False
[CLS] People ' s Republic of China shares border with [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Hong Kong,Japan | JA | JAP | JP | JPN | Japan | Land of the Rising Sun | Nihon | Nihon - koku | Nippon | Nippon - koku | State of Japan | jp | BUR | Burma | MM | MYA | Myanmar | Republic of the Union of Myanmar | Union of Burma | [UNK] | AFG | Afghanistan | Islamic Republic of Afghanistan | af | [UNK] | Federal Democratic Republic of Nepal | NEP | NP | NPL | Nepal | [UNK] | RU | RUS | Rossija | Rossijskaja Federatsija | Rossiya | Rossiyskaya Federatsiya | Rus | Russia | Russian Federation | ru | KAZ | Kazakhstan | Qazaqstan | Republic of Kazakhstan | kz | [UNK] | KGZ | Kirgizia | Kyrgyz Republic | Kyrgyzstan | kg | [UNK] | Socialist Republic of Vietnam | VIE | VN | Viet Nam | Vietnam | [UNK] | Daehan Minguk | KOR | Korea Republic | ROK | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK] | DPRK | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK | kp | [UNK] | Islamic Republic of Pakistan | PAK | Pakistan | pk | [UNK] | BHU | Bhutan | Kingdom of Bhutan | bt | [UNK] | Republic of Tajikistan | TJK | Tajikistan | tj | [UNK] | MGL | MNG | Mongol uls | Mongolia | mn | [UNK] | LAO | Lao PDR | Lao People ' s Democratic Republic | Laos | la | [UNK] | JA | JAP | JP | JPN | Japan | Land of the Rising Sun | Nihon | Nihon - koku | Nippon | Nippon - koku | State of Japan | jp | Bharat | Bharatvarsh | Hindustan | IN | IND | India | Republic of India | in | [UNK],False,True
[CLS] Italy shares border with [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Italy,France | FR | FRA | France | French Republic | La France | Republic of France | République française | fr | Città del Vaticano | Civitas Vaticana | Papal State | State of Vatican City | Stato della Città del Vaticano | Status Civitatis Vaticanae | The Vatican | Vatican | Vatican City | Vatican City State | va | vat | [UNK] | FR | FRA | France | French Republic | La France | Republic of France | République française | fr | CH | CHE | SUI | Schweiz | Suisse | Svizzera | Swiss | Swiss Confederation | Switzerland | MLT | Malta | Republic of Malta | mt | [UNK] | AT | AUT | Austria | Republic of Austria | Republik Österreich | at | Österreich | [UNK] | Republic of Slovenia | Republika Slovenija | SLO | Slovenia | Slovenija | si | slo | svn | [UNK] | Most Serene Republic of San Marino | SMR | San Marino | sm | [UNK],False,True
