sentence,prediction,gold,is_same,is_single_word
[CLS] Paul McCartney plays [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],the bass guitar,bass guitar | bass | bass guitar | bass | bass guitar | fiddle | violin | ' uke | ' ukulele | banjolele | guitalele | uke | ukulele | ʻuke | ʻukulele | Brazilian bandolim | Brescian mandolin | Cremonese mandolin | Florentine mandolin | Genoese mandolin | Lombardian mandolin | Milanese mandolin | Tuscan mandolin | flat - backed mandolin | mandolin | blow - organ | key - flute | melodica | pianica | bull fiddle | contrabass | doghouse bass | double bass | jazz bass | stand - up bass | string bass | upright bass | Piano | piano | pianoforte | percussion instrument | percussion instruments | percussions | trumpet | guitar | sitar | cello | violoncello | keyboard instrument | English flute | beak flute | block flute | flutaphone | recorder,False,False
[CLS] Brian Wilson plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],. Brian Wilson plays,bass guitar | bass | bass guitar | bass | bass guitar | drum kit | drum set | drum - kit | drum - set | drums | trap set | traps | singing voice | vocals | voice | singing | vocals | Piano | piano | pianoforte | guitar | keyboard instrument,False,False
[CLS] Franz Liszt plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],in the music hall,piano | Piano | piano | pianoforte | organ | Piano | piano | pianoforte,False,True
[CLS] Johann Sebastian Bach plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],in the Chamber Chamber,violin | fiddle | violin | organ | fiddle | violin | viol | viola da gamba | viola | cembalo | clavecin | clavicembalo | harpsichord,False,True
[CLS] Johann Sebastian Bach plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],in the Chamber Chamber,harpsichord | cembalo | clavecin | clavicembalo | harpsichord | organ | fiddle | violin | viol | viola da gamba | viola | cembalo | clavecin | clavicembalo | harpsichord,False,False
[CLS] Ludwig van Beethoven plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],the melody,piano | Piano | piano | pianoforte | Piano | piano | pianoforte | fiddle | violin,False,True
[CLS] Sonny Stitt plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],in a small town,saxophone | saxophone | saxophone,False,True
[CLS] Wolfgang Amadeus Mozart plays [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],an aria,piano | Piano | piano | pianoforte | organ | fiddle | violin | clavichord | viola | cembalo | clavecin | clavicembalo | harpsichord | fortepiano | pianoforte | Piano | piano | pianoforte | pipe organ,False,True
[CLS] Paul McCartney plays [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],the bass guitar,piano | Piano | piano | pianoforte | bass | bass guitar | fiddle | violin | ' uke | ' ukulele | banjolele | guitalele | uke | ukulele | ʻuke | ʻukulele | Brazilian bandolim | Brescian mandolin | Cremonese mandolin | Florentine mandolin | Genoese mandolin | Lombardian mandolin | Milanese mandolin | Tuscan mandolin | flat - backed mandolin | mandolin | blow - organ | key - flute | melodica | pianica | bull fiddle | contrabass | doghouse bass | double bass | jazz bass | stand - up bass | string bass | upright bass | Piano | piano | pianoforte | percussion instrument | percussion instruments | percussions | trumpet | guitar | sitar | cello | violoncello | keyboard instrument | English flute | beak flute | block flute | flutaphone | recorder,False,True
[CLS] Robert Schumann plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],an ane ane,piano | Piano | piano | pianoforte | Piano | piano | pianoforte,False,True
[CLS] Cannonball Adderley plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a football club,saxophone | saxophone | saxophone,False,True
[CLS] Johannes Brahms plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],an aria,piano | Piano | piano | pianoforte | Piano | piano | pianoforte,False,True
[CLS] Sonny Rollins plays [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Sonny Rollins,saxophone | saxophone | saxophone | tenor saxophone | soprano saxophone,False,True
[CLS] Milt Jackson plays [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Milt Jackson,vibraphone | vibes | vibraharp | vibraphone | vibes | vibraharp | vibraphone | singing voice | vocals | voice,False,False
[CLS] Ravi Shankar plays [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],B . B,sitar | sitar | sitar,False,False
[CLS] Jakob Kullberg plays [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Kullberg,cello | cello | violoncello | cello | violoncello,False,True
[CLS] Yo - Yo Ma plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],the bass guitar,cello | cello | violoncello | Piano | piano | pianoforte | fiddle | violin | cello | violoncello | viola,False,True
[CLS] Charlie Watts plays [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Charlie Watts,drum kit | drum kit | drum set | drum - kit | drum - set | drums | trap set | traps | drum kit | drum set | drum - kit | drum - set | drums | trap set | traps,False,False
