sentence,prediction,gold,is_same,is_single_word
[CLS] Arab citizens of Israel was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Arab citizens of Israel,Israel | Holy Land | ISR | Israel | State of Israel | il | the Jewish state | [UNK],False,True
[CLS] Jesus Christ was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Jesus Christ,Nazareth | Natzrat | Nazareth | Naṣrath | an - Nāṣira,False,True
[CLS] Lee Kuan Yew was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Hong Kong,Singapore | Garden City | Lion City | Republic of Singapore | SG | SGP | Singapore | Singapore City | sg | [UNK],False,True
[CLS] Zog I was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the United States,Albania | ALB | Albania | Republic of Albania | Republika e Shqipërisë | Shqipërisë | al | [UNK],False,True
[CLS] Cnut the Great was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Cnut,Denmark | DEK | DEN | DK | DNK | Danmark | Denmark | Denmark proper | TAN | dk | metropolitan Denmark | [UNK],False,True
[CLS] Catherine of Alexandria was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Antioch,"Alexandria | Al Iskandariya | Alexandria | Alexandria , Egypt | Iskandariyya | Mediterranean ' s Bride | Pearl of the Mediterranean",False,True
[CLS] Anthony of Padua was born in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Padua,Lisbon | Lisbon,False,True
[CLS] Saint David was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,Pembrokeshire | Pembrokeshire | Pembs | Sir Benfro | VC45,False,False
[CLS] Edvard Grieg was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Grieg,Bergen | Bergen | Bjørgvin,False,True
[CLS] Carl Schlechter was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Frankfurt am Main,"Vienna | Vienna | Vienna , Austria | W | Wien",False,True
[CLS] Ted Strickland was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Los Angeles,"Ohio | Buckeye State | OH | Ohio | Ohio , United States | State of Ohio",False,True
[CLS] Ed Koch was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs",True,False
[CLS] Bachir Attar was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],"Karachi , Pakistan",Jajouka | Jajouka,False,False
[CLS] Carlos Alzugaray Treto was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Buenos Aires,"Havana | Habana | Havana | Havana , Cuba | La Habana",False,True
[CLS] Sam Massell was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,"Atlanta | Atlanta | Atlanta , GA | Atlanta , Georgia | Hotlanta | Terminus | The A | The ATL | The Big Peach",False,True
[CLS] Gilbert White was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,"Selborne | Selborne | Selborne , Hampshire",False,False
[CLS] Alexander the Great was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York,Pella | Pella,False,False
[CLS] Thales was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the United States,Miletus | Miletus,False,False
[CLS] Canaletto was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Canaletto,"Venice | Serenissima | Venetia | Venexia | Venezia | Venice | Venice , Italy",False,True
[CLS] Edward Drinker Cope was born in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the United States of America,"Philadelphia | City of Brotherly Love | Cradle of Liberty | Philadelphia | Philadelphia , Pennsylvania | Philly",False,True
[CLS] Jonathan Swift was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Lincoln Lincoln Lincoln Lincoln,Dublin | City of Dublin | Dublin | Dublin city,False,True
[CLS] Gilbert Percy Whitley was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Whitley,England | England,False,True
[CLS] Vseslav of Polotsk was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Polotsk,Polack | Polack | Polatsak | Polatsk | Polazak | Polazk | Polockas | Polozk | Połack | Połock,False,False
[CLS] Robert Schumann was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the Czech Republic,Zwickau | Zwickau,False,False
[CLS] Zayed bin Khalifa Al Nahyan was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Al Nahyan,Abu Dhabi | Abu Dhabi | Abudhabi | Abū Dhabi,False,False
[CLS] Pausanias of Orestis was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Orestis,Orestis | Orestis,True,False
[CLS] Mir - Hossein Mousavi was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the Soviet Union,Iran | Iran | Islamic Rep . Iran | Islamic Republic of Iran | Persia | Republic of Iran | ir | [UNK],False,True
[CLS] Joseph H . Shoctor was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the United States,"Edmonton | City of Edmonton | Edmonton | Edmonton , AB | Edmonton , Alberta",False,True
[CLS] Bocchus I was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Bocchus,Mauretania | Mauretania,False,False
[CLS] Bhabananda Deka was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Tamil Nadu,Assam | Asom | Assam | Axom | The Land of Red Rivers and Blue Hills,False,True
[CLS] John Francis Campbell was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the United States,Islay | Islay | Isle of Islay | The Queen of the Hebrides,False,False
[CLS] Caroline Vasicek was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the Czech Republic,"Vienna | Vienna | Vienna , Austria | W | Wien",False,True
[CLS] Yunus Khan was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Karachi ( Pakistan ),Moghulistan | Moghulistan,False,False
[CLS] Giacomo Puccini was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York,Lucca | Lucca,False,True
"[CLS] Ingrid , Queen of Denmark was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]",a family of nobles,Stockholm | Estocolmo | Stockholm | Tukholma,False,True
[CLS] William Randolph Hearst was born in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],New York,"San Francisco | Baghdad by the Bay | City and County of San Francisco | Frisco | Paris of the West | SF | SFO | San Fran | San Francisco | San Francisco County | San Francisco County , California | San Francisco , California | The City by the Bay | The Golden City",False,False
[CLS] Eric VI of Denmark was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],the House of Denmark,Denmark | DEK | DEN | DK | DNK | Danmark | Denmark | Denmark proper | TAN | dk | metropolitan Denmark | [UNK],False,True
[CLS] Merete Agerbak - Jensen was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Skandinavia,Oslo | Christiania | Kristiania | NOOSL | Oslo,False,True
[CLS] Najeeb Jung was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the United Kingdom,Delhi | Delhi | NCR | National Capital Region of Delhi,False,True
[CLS] Ribeirinho was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Rio de Janeiro,Lisbon | Lisbon,False,True
[CLS] Battista Franco Veneziano was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Veneziano,"Venice | Serenissima | Venetia | Venexia | Venezia | Venice | Venice , Italy",False,True
[CLS] Anatoli Vasiliev was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the Soviet Union,Saint Petersburg | Leningrad | Petersburg | Petrograd | Saint Petersburg | Sankt - Peterburg | St Petersburg | St . Petersburg,False,False
[CLS] Kurt Schlosser was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],the Czech Republic,Dresden | Dresden | Drezda | Elbflorenz,False,True
[CLS] Wilhelm Meyer was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York,Speyer | Speyer,False,True
[CLS] Samuel Powel was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Powel,"Philadelphia | City of Brotherly Love | Cradle of Liberty | Philadelphia | Philadelphia , Pennsylvania | Philly",False,True
[CLS] Israel Gollancz was born in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Buenos Aires,"London | London | London , England | London , UK | London , United Kingdom",False,True
[CLS] Eugeniusz Romer was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Poznan,Lviv | L ' viv | L ' vov | Lemberg | Lemberik | Leopol | Lviv | Lvov | Lwow | Lwów,False,False
[CLS] Ernest of Bavaria was born in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],a family of nobles,Munich | Minga | Monachium | Muenchen | Munchen | Munich | München,False,True
