sentence,prediction,gold,is_same,is_single_word
[CLS] David is a [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],carpenter,politician | polit . | political figure | political leader | politician | author | authors | writer | writers | bard | poet | poetess | boss | leader | person in charge | sovereign | herder | herdsman | herdswoman | instrumentalist | polit . | political figure | political leader | politician,False,True
[CLS] George Washington is a [MASK] [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD],. S . Representative,politician | polit . | political figure | political leader | politician | army officer | military officer | officer | polit . | political figure | political leader | politician | statesman | statesperson | stateswoman,False,True
[CLS] William Shakespeare is a [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD],great great great great,"actor | actor | actors | actress | actresses | thespian | actor | actors | actress | actresses | thespian | Playwright , dramatist | dramatist | playwright | playwrite | scriptwriter",False,True
[CLS] Alexander the Great is a [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD],monarch,politician | polit . | political figure | political leader | politician | polit . | political figure | political leader | politician | military leader,False,True
[CLS] Frederick II of Prussia is a [MASK] [MASK] [MASK] [MASK] [MASK] by profession . [SEP],great - granddaughter,politician | polit . | political figure | political leader | politician | polit . | political figure | political leader | politician | military leader,False,True
[CLS] William Shakespeare is a [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD],great great great great,"playwright | Playwright , dramatist | dramatist | playwright | playwrite | scriptwriter | actor | actors | actress | actresses | thespian | Playwright , dramatist | dramatist | playwright | playwrite | scriptwriter",False,True
[CLS] Ronald Reagan is a [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Ronald Reagan,politician | polit . | political figure | political leader | politician | actor | actors | actress | actresses | thespian | polit . | political figure | political leader | politician | statesman | statesperson | stateswoman,False,True
[CLS] Richard I of England is a [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD],Richard I of England,poet | bard | poet | poetess | king | monarch | queen | bard | poet | poetess,False,True
[CLS] Alfred the Great is a [MASK] [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD],great - granddaughter,politician | polit . | political figure | political leader | politician | polit . | political figure | political leader | politician,False,True
[CLS] Peter is a [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD],cyclist,bishop | bishop | bishop | fisher | fisherman | fisherwoman | priest | priestess | reverend,False,True
[CLS] Batman is a [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Batman,superhero | professional hero | super hero | super heroine | super - hero | super - heroine | superhero | superheroine | philanthropist | philantropist | professional hero | super hero | super heroine | super - hero | super - heroine | superhero | superheroine | criminal investigator | detective | CE | CEO | CEx | Chief executive | Chief executive officer | chief executive officer | martial artist | martial artists | martial arts practitioner | fictional vigilante | نباتزرشوابسسبتلثلم ، كجنيششذذيغمكخحججج 9ففعشتتيقاتتيصق6 | fictional businessman | fictional businessperson | fictional businesswoman,False,False
[CLS] Richard Wagner is a [MASK] [MASK] [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD],Bayreuth Bayreuth Bayreuth Bayreuth,composer | composer | pianist | music critic | Conducting | conductor | musical artist | musician | librettist | bard | poet | poetess | essayist | essayists | author | contributor | composer | director | play director | stage director | theater director | theatre director | diarist | diarists | autobiographer,False,True
[CLS] Henry Morton Stanley is a [MASK] [MASK] by profession . [SEP] [PAD] [PAD] [PAD] [PAD],Morton Stanley,politician | polit . | political figure | political leader | politician | explorer | author | authors | writer | writers | polit . | political figure | political leader | politician | journalist | journo,False,True
