sentence,prediction,gold,is_same,is_single_word
[CLS] The official language of Qing dynasty is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Qing dynasty official language,Chinese | Chinese | Chinese language | Chinese languages | zh,False,True
[CLS] The official language of Soviet Union is [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Cyrillic,Russian | Russian | Russian language | ru,False,True
[CLS] The official language of Russian Empire is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the official language of Russia,Russian | Russian | Russian language | ru,False,True
[CLS] The official language of Iran is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Azerbaijani language,Persian | Dari | Farsi | Farsi language | Iranian | Iranian language | Persian | Persian language | fa,False,True
[CLS] The official language of Russia is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Tatar,Russian | Russian | Russian language | ru,False,True
[CLS] The official language of Ireland is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Irish,Irish | Irish | Irish Gaelic | ga,True,True
[CLS] The official language of France is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],French,French | French | French language | fr,True,True
[CLS] The official language of Ukraine is [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Cyrillic,Ukrainian | Ukrainian | Ukrainian language | uk | Українська | Українська мова,False,True
[CLS] The official language of Sweden is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Swedish,Swedish | Swedish | Swedish language | sv,True,True
[CLS] The official language of United States of America is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],United States of America,English | English | English language | en | eng,False,True
[CLS] The official language of Greek is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Albanian,Greece | GRE | Greece | Greek Republic | Hellas | Hellenic Republic | gr | [UNK],False,True
[CLS] The official language of Serbia is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the Serb language,Serbian | Serbian | Serbian language | sr,False,True
[CLS] The official language of Thailand is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Phoenician,Thai | Central Thai | Siamese | Thai | Thai language | th,False,True
[CLS] The official language of Spain is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the language of Spain,Spanish | Castilian | Castilian language | Español | Spanish | Spanish language | es,False,True
[CLS] The official language of Canada is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the language of Canada,French | French | French language | fr,False,True
[CLS] The official language of Wales is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Welsh,Welsh | Cymric | Welsh | Welsh language | cy,True,True
[CLS] The official language of Israel is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Yiddish,Hebrew | Hebrew | Hebrew language | he | heb,False,True
[CLS] The official language of Pakistan is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Urdu,Urdu | Modern Standard Urdu | Urdu | Urdu language | ur,True,True
[CLS] The official language of Italy is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Italian,Italian | Italian | Italian language | Italiano | it,True,True
[CLS] The official language of Finland is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],the Finnish language,Finnish | Finnish | Finnish language | Suomi | fi | suomen kieli,False,True
[CLS] The official language of Turkey is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Turkish,Turkish | Anatolian Turkish | Istanbul Turkish | Turkish | Turkish language | tr,True,True
[CLS] The official language of Netherlands is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the language of the Netherlands,Dutch | Dutch | Dutch language | nl | nld,False,True
[CLS] The official language of Bangladesh is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Bangladeshi,Bengali | Bangla | Bengali | Bengali language | bn,False,True
[CLS] The official language of Bosnia and Herzegovina is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],the Bosnian language,Serbian | Serbian | Serbian language | sr,False,True
[CLS] The official language of Armenia is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],the Armenian language,Armenian | Armenian | Armenian language | hy,False,True
[CLS] The official language of Belgium is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],the language of Belgium,French | French | French language | fr,False,True
