sentence,prediction,gold,is_same,is_single_word
[CLS] 2000 Summer Olympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],New York,"Sydney | Sydney | Sydney , Australia | Sydney , NSW | Sydney , NSW , Australia | Sydney , New South Wales | Sydney , New South Wales , Australia",False,True
[CLS] 2012 Summer Olympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Nanjing ( Nanjing ),"London | London | London , England | London , UK | London , United Kingdom",False,True
[CLS] 1996 Summer Olympics is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Mexico City ( Mexico ),"Atlanta | Atlanta | Atlanta , GA | Atlanta , Georgia | Hotlanta | Terminus | The A | The ATL | The Big Peach",False,True
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,Europe | Europe | Old continent,False,True
[CLS] Norman conquest of England is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Norman conquest of England,Kingdom of England | England | Kingdom of England,False,False
[CLS] 2008 Summer Paralympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Beijing ( Beijing ),Beijing | BJ | Beijing | Beiping | Khanbaliq | Peiping | Peking | Yanjing | Zhongdu,False,True
[CLS] 1992 Summer Olympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],New York,Barcelona | B ' na | BCN | Barcelona,False,True
[CLS] 2006 Asian Games is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],the city of Chongqing,Doha | Doha,False,True
[CLS] 2012 Summer Paralympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],2012,"London | London | London , England | London , UK | London , United Kingdom",False,True
[CLS] Operation Barbarossa is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],San Marino . San Marino,Soviet Union | CCCP | SU | Soviet Union | Soviets | The Soviets | U . S . S . R | U . S . S . R . | USSR | Union of Soviet Socialist Republics | the Soviet Union | the Union of Soviet Socialist Republics | СССР,False,False
[CLS] University of Southern California is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Cal Cal Cal Cal,"Los Angeles | City of Angels | City of Los Angeles | Double Dubuque | L . A . | LA | LA , California | La La Land | Los Angeles | Los Angeles , California | Pink City | The town of Our Lady the Queen of the Angels of the Little Portion | Tinsel Town",False,False
[CLS] 2004 Summer Paralympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Athens ( Athens ),Athens | Athens,False,True
[CLS] World War I is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,Europe | Europe | Old continent,False,True
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,Pacific Ocean | Pacific | Pacific Ocean | Pacific Sea,False,False
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,Asia | Asia,False,True
[CLS] Grand National is located in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Grand National,Aintree Racecourse | Aintree Racecourse,False,False
[CLS] Armenian Genocide is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],U . S,Ottoman Empire | Exalted Ottoman State | Osmanli Empire | Ottoman Empire | Turkish Empire,False,False
[CLS] British Museum is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],"London , United Kingdom","London | London | London , England | London , UK | London , United Kingdom",True,True
[CLS] 2014 Winter Olympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Nanjing ( Nanjing ),Sochi | Sochi,False,False
[CLS] 1996 Summer Paralympics is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Rio de Janeiro , Brazil","Atlanta | Atlanta | Atlanta , GA | Atlanta , Georgia | Hotlanta | Terminus | The A | The ATL | The Big Peach",False,True
[CLS] French Revolution is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,France | FR | FRA | France | French Republic | La France | Republic of France | République française | fr,False,True
[CLS] English Civil War is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Lincoln Lincoln Lincoln Lincoln,Kingdom of England | England | Kingdom of England,False,False
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,Mediterranean Sea | Mediterranean Sea,False,False
[CLS] 2000 Summer Paralympics is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the United States,"Sydney | Sydney | Sydney , Australia | Sydney , NSW | Sydney , NSW , Australia | Sydney , New South Wales | Sydney , New South Wales , Australia",False,True
[CLS] York University is located in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York,"Toronto | City of Toronto | Hogtown | T - O | The 416 | The Six | Toronto | Toronto ( Ont . ) | Toronto , Canada | Toronto , Ontario",False,True
[CLS] parish church is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],New York City,parish | church parish | ecclesiastical parish | parish,False,True
[CLS] Concordia University is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Chi Chi Chi,"Montreal | City of Montreal | Montreal | Montreal , Quebec | Montréal | Ville de Montreal | Ville de Montréal | Ville - Marie",False,True
[CLS] September 11 attacks is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Santa Cruz de Tenerife,"New York City | Big Apple | City of New York | NY City | NYC | New York | New York City | New York City , New York | New York , New York | the five boroughs",False,False
[CLS] Broadway theatre is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Broadway,"Manhattan | Borough of Manhattan | Manhattan | Manhattan borough , New York City | Manhattan , New York | Manhattan , New York City",False,True
[CLS] 2016 Summer Olympics is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Nanjing ( Nanjing ),Rio de Janeiro | RJ | Rio | Rio de Janeiro | Rio de Janeiro city,False,False
[CLS] Winter War is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Winter War,Finland | FIN | Finland | Finlande | Finlandia | Finnia | Finnland | Land of Thousand Lakes | Republic of Finland | Republiken Finland | Suomen tasavalta | Suomi | fi | [UNK],False,True
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,Africa | Africa | African continent,False,True
[CLS] Gulf War is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],San Diego . San Diego,Iraq | IRQ | Iraq | Jumhūriyyat al - [UNK] Irāq | Komar - i [UNK] Êraq | Republic of Iraq | al - [UNK] Irāq | iq | [UNK],False,True
[CLS] Syrian Civil War is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Syrian Civil War,Syria | Ba ' athist Syria | SYR | Syria | Syrian Arab Republic | sy | [UNK],False,True
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],New York City,"Middle East | Mid East | Middle East | Middle East , Mideast | Near East | West Asia | Western Asia",False,False
[CLS] Russian Civil War is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],San Diego . San Diego,Russian Empire | Empire of Russia | Imperial Russia | Russia | Russian Empire | Tsarist Russia,False,False
[CLS] Michigan State University is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Michigan State University,"East Lansing | East Lansing | East Lansing , Michigan",False,False
[CLS] 2014 Winter Paralympics is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],the Russian Federation,Sochi | Sochi,False,False
[CLS] Mollywood is located in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Mollywood,India | Bharat | Bharatvarsh | Hindustan | IN | IND | India | Republic of India | in | [UNK],False,True
[CLS] 2013 Southeast Asian Games is located in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Hong Kong,Naypyidaw | Nay Pyi Taw | Naypyidaw,False,False
[CLS] Cuban Revolution is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Santiago de Chile,Cuba | CUB | Cuba | Republic of Cuba | cu | [UNK],False,True
[CLS] Attica is located in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Attica,Greece | GRE | Greece | Greek Republic | Hellas | Hellenic Republic | gr | [UNK],False,True
[CLS] Bosnian War is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Bosnian War,Bosnia and Herzegovina | B & H | BIH | BiH | Bosnia | Bosnia & Herzegovina | Bosnia and Herzegovina | Bosnia - Herzegovina | ba | [UNK],False,False
[CLS] World War II is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],New York City,Atlantic Ocean | Atlantic | Atlantic Ocean | Atlantic Sea | Great Western Ocean,False,False
"[CLS] 1 , 000 Guineas Stakes is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]",St . St,Newmarket Racecourse | Newmarket Racecourse,False,False
[CLS] Samuel Oschin telescope is located in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Samuel Oschin,Palomar Observatory | Palomar Observatory,False,False
[CLS] French Resistance is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],"The Hague , Netherlands",France | FR | FRA | France | French Republic | La France | Republic of France | République française | fr,False,True
[CLS] Kunsthistorisches Museum is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Hals Hals,"Vienna | Vienna | Vienna , Austria | W | Wien",False,True
[CLS] Imperial Russian Army is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Kharkiv,Russian Empire | Empire of Russia | Imperial Russia | Russia | Russian Empire | Tsarist Russia,False,False
[CLS] Gran Teatre del Liceu is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Barcelona ( Spain ),Barcelona | B ' na | BCN | Barcelona,False,True
