sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Elmer Gantry:2 was awarded the [MASK] . [SEP],award,"Academy Award for Best Writing , Adapted:2 Screenplay:2",0,"Academy Award for Best Writing , Adapted:2 Screenplay:2",0
[CLS] Kalyan:3 Bidhan:2 Sinha:2 was awarded the [MASK] . [SEP],award,Shanti:2 Swarup:3 Bhatnagar:4 Prize for Science and Technology,0,Shanti:2 Swarup:3 Bhatnagar:4 Prize for Science and Technology,0
[CLS] Alan Peshkin:3 was awarded the [MASK] [MASK] [MASK] . [SEP],Medal of Prize,John Simon Guggenheim Memorial Foundation Fellowship,0,John Simon Guggenheim Memorial Foundation Fellowship,0
[CLS] Subramaniam:4 Raman:2 was awarded the [MASK] . [SEP],award,Arjuna:2 Award,0,Arjuna:2 Award,0
[CLS] Gene Hackman:2 was awarded the [MASK] . [SEP],script,Academy Award for Best Actor,0,Academy Award for Best Actor,0
[CLS] James Lloyd Findlay:2 was awarded the [MASK] [MASK] [MASK] . [SEP],Medal of Medal,Military Cross,0,Military Cross,0
[CLS] John Cocke:2 was awarded the [MASK] [MASK] [MASK] . [SEP],Medal of Medal,IBM Fellow,0,IBM Fellow,0
[CLS] Walter Clutterbuck:5 was awarded the [MASK] [MASK] [MASK] . [SEP],Medal of Medal,Distinguished Service Order,0,Distinguished Service Order,0
[CLS] George Cooper was awarded the [MASK] [MASK] [MASK] . [SEP],Medal of Medal,Military Cross,0,Military Cross,0
[CLS] Amy Adams was awarded the [MASK] . [SEP],award,Golden Globe Award,0,Golden Globe Award,0
[CLS] Ian McGeoch:5 was awarded the [MASK] . [SEP],award,Distinguished Service Order,0,Distinguished Service Order,0
[CLS] Iris was awarded the [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. of of . .,Academy Award for Best Supporting Actor,0,Academy Award for Best Supporting Actor,0
[CLS] James Megellas:3 was awarded the [MASK] . [SEP],award,Silver Star,0,Silver Star,0
[CLS] The Piano was awarded the [MASK] . [SEP],prize,"Academy Award for Best Writing , Original Screenplay:2",0,"Academy Award for Best Writing , Original Screenplay:2",0
[CLS] Philippe Doumenc:3 was awarded the [MASK] . [SEP],jury,Prix Renaudot:2,0,Prix Renaudot:2,0
[CLS] The Rock of Tanios:2 was awarded the [MASK] . [SEP],award,Prix Goncourt:2,0,Prix Goncourt:2,0
[CLS] Garth:2 Owen - Smith was awarded the [MASK] . [SEP],award,Goldman Environmental Prize,0,Goldman Environmental Prize,0
[CLS] Hannah and Her Sisters was awarded the [MASK] . [SEP],award,"Academy Award for Best Writing , Original Screenplay:2",0,"Academy Award for Best Writing , Original Screenplay:2",0
[CLS] Diary for My Children was awarded the [MASK] [MASK] . [SEP],Best Prize,Cannes Film Festival Grand Prix,0,Cannes Film Festival Grand Prix,0
[CLS] Yukiko:2 Yamashita:3 was awarded the [MASK] . [SEP],award,MacArthur Fellows:2 Program,0,MacArthur Fellows:2 Program,0
[CLS] Jeff Kent was awarded the [MASK] . [SEP],award,Major League Baseball Most Valuable:2 Player Award,0,Major League Baseball Most Valuable:2 Player Award,0
