sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Taisen:2 Puzzle:3 Dama is developed by [MASK] [MASK] . [SEP],Taisen:2,Konami:2,0,Konami:2,0
[CLS] Galaxian:3 is developed by [MASK] [MASK] [MASK] . [SEP],Galaxian:3,Bandai:2 Namco:2 Amusement:2,0,Bandai:2 Namco:2 Amusement:2,0
[CLS] Dance Dance Revolution Hottest:2 Party 3 is developed by [MASK] . [SEP],Capcom,Konami:2,0,Konami:2,0
[CLS] Concerto Gate is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"T . , . .",Square Enix:2,0,Square Enix:2,0
[CLS] Full Spectrum Warrior is developed by [MASK] [MASK] [MASK] . [SEP],Full Spectrums:2,Pandemic:3 Studios,0,Pandemic:3 Studios,0
[CLS] Another World is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , . .",Delphine:2 Software International,0,Delphine:2 Software International,0
[CLS] Body Blows:2 Galactic:2 is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . .,Team17:2,0,Team17:2,0
[CLS] Enemy Front is developed by [MASK] [MASK] . [SEP],Enemy Front,CI:2 Games S . A .,0,CI:2 Games S . A .,0
[CLS] Rugby 2004 is developed by [MASK] . [SEP],Rugby,HB Studios,0,HB Studios,0
[CLS] Operation C is developed by [MASK] [MASK] . [SEP],Operation C,Konami:2,0,Konami:2,0
[CLS] True Golf Classics : Waialae:3 Country Club is developed by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Waialae:3 Country Club,Technology and Entertainment Software,0,Technology and Entertainment Software,0
[CLS] Oracle Clusterware:3 is developed by [MASK] . [SEP],Oracle,Oracle Corporation,0,Oracle Corporation,0
[CLS] Strike Commander is developed by [MASK] [MASK] . [SEP],Strike Commander,Origin Systems,0,Origin Systems,0
[CLS] Hover:2 Force is developed by [MASK] [MASK] [MASK] . [SEP],Hover:2 Force,Mattel:2,0,Mattel:2,0
[CLS] Sonic the Hedgehog:3 CD is developed by [MASK] . [SEP],Capcom,Sonic Team,0,Sonic Team,0
[CLS] Cutthroats:4 is developed by [MASK] [MASK] [MASK] [MASK] . [SEP],Cutthroats:4,Infocom:2,0,Infocom:2,0
