sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Tisias:2 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Ancient Greek,0,Ancient Greek,0
[CLS] Leyla:2 Zana:2 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the ands:2,Kurdish:2 languages,0,Kurdish:2 languages,0
[CLS] Jan Czeczot:4 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the ins:2,Belarusian:2,0,Belarusian:2,0
[CLS] Helîm:4 Yûsiv:3 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the ands:2,Kurdish:2 languages,0,Kurdish:2 languages,0
[CLS] Marcu:2 Biancarelli:2 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Corsican:2,0,Corsican:2,0
[CLS] Gautama:2 Buddha used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Magadhi:3 Prakrit:3,0,Magadhi:3 Prakrit:3,0
[CLS] James R . Ballantyne:3 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Marathi:2,0,Marathi:2,0
[CLS] Vsevolod:4 IV of Kiev used to communicate:2 in [MASK] . [SEP],Kiev,Old East Slavic,0,Old East Slavic,0
[CLS] Tone Partljič:3 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Slovene:3,0,Slovene:3,0
[CLS] Nurmyrat:3 Saryhanow:4 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Turkmen:2,0,Turkmen:2,0
[CLS] Makarand:2 Dave used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Gujarati:2,0,Gujarati:2,0
[CLS] Jani:2 Virk:2 used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the ins:2,Slovene:3,0,Slovene:3,0
[CLS] Rasul:2 Gamzatov:4 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Avaric:2,0,Avaric:2,0
[CLS] Nelson Mandela used to communicate:2 in [MASK] [MASK] [MASK] . [SEP],the ins:2,Xhosa:2,0,Xhosa:2,0
[CLS] Iain:2 Lom:2 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Scottish Gaelic,0,Scottish Gaelic,0
[CLS] Sjúrður:4 Skaale:3 used to communicate:2 in [MASK] [MASK] . [SEP],thes:2,Faroese:2,0,Faroese:2,0
