sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] András Törő:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Budapest and the ),University of Michigan,0,University of Michigan,0
[CLS] David Castle was educated at the University of [MASK] . [SEP],Cambridge,McMaster:4 University,0,McMaster:4 University,0
[CLS] Roopa:3 Farooki:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],the and the University,New College,0,New College,0
[CLS] Mark Handley:2 was educated at the University of [MASK] . [SEP],Cambridge,University College London,0,University College London,0
[CLS] Dick Tooth:2 was educated at the University of [MASK] . [SEP],Cambridge,University of Sydney,0,University of Sydney,0
[CLS] Theodor Svedberg:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Copenhagen and the ),Uppsala University,0,Uppsala University,0
[CLS] Keith Prosser:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],London and the University,Queens ' College,0,Queens ' College,0
[CLS] Fran Mires was educated at the University of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],London and the . .,Medill:2 School of Journalism:2,0,Medill:2 School of Journalism:2,0
[CLS] Keir:2 Giles was educated at the University of [MASK] . [SEP],Cambridge,Winchester College,0,Winchester College,0
[CLS] John Christopher Mahoney:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Cambridge and the University,Brown University,0,Brown University,0
[CLS] Alan M . Olson was educated at the University of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Cambridge and the . M,St . Olaf College,0,St . Olaf College,0
[CLS] Do - ol was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],the and the University,Korea University,0,Korea University,0
[CLS] James Brooke was educated at the University of [MASK] . [SEP],Cambridge,Yale University,0,Yale University,0
[CLS] Joanna Falco - Leshin:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],London and the University,University of Miami,0,University of Miami,0
[CLS] Francesco Caruso:2 was educated at the University of [MASK] . [SEP],Rome,San Diego State University,0,San Diego State University,0
[CLS] John Antoon:2 II was educated at the University of [MASK] . [SEP],Cambridge,Florida Southern College,0,Florida Southern College,0
[CLS] Robert O . Mendelsohn:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],London and the University,Harvard University,0,Harvard University,0
[CLS] Mahindananda:4 Aluthgamage:4 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Madras and the University,"Royal College , Colombo",0,"Royal College , Colombo",0
"[CLS] Janric:2 Craig , 3rd Viscount Craigavon:3 was educated at the University of [MASK] . [SEP]",Aberdeen,Eton:2 College,0,Eton:2 College,0
[CLS] Jerome Clarke Hunsaker:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],London and the . .,United States Naval Academy,0,United States Naval Academy,0
[CLS] Clare Blackburn was educated at the University of [MASK] [MASK] [MASK] . [SEP],Oxford and Blackburn,University of Edinburgh,0,University of Edinburgh,0
[CLS] Dan Ariely:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],London and the . .,Duke University,0,Duke University,0
[CLS] Nematullah:3 Shahrani:2 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Tehran and the University,George Washington University,0,George Washington University,0
[CLS] Diana Ferrus:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],London and the University,Utrecht University,0,Utrecht University,0
[CLS] Eric Honegger:3 was educated at the University of [MASK] [MASK] [MASK] [MASK] . [SEP],Cambridge and the University,University of Zurich,0,University of Zurich,0
[CLS] Andrés W . López was educated at the University of [MASK] . [SEP],Chile,La vagancia:2,0,La vagancia:2,0
[CLS] Robert M . Warner was educated at the University of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],London and the . .,University of Michigan,0,University of Michigan,0
