sentence,prediction1,prediction2,gold,is_same1,is_same2,is_single_word
[CLS] η Βόννη είναι η πρωτεύουσα της [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Γερμανίας,Γαλλίας,Γερμανίας | Γερμανίας | Ομοσπονδιακής Φημοανίας,True,False,False
[CLS] οι Βρυξέλλες είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Belgium,πληθυσμού,Βελγίου | Βελγίου | Βασίλειο τελγίου | Βελγίου | BEL | Belgium | Kingdom of Belgium | be | [UNK],True,False,False
[CLS] η Μαδρίτη είναι η πρωτεύουσα της [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Spain,χώρας,Ισπανίας | Βασίλειο τησπανίας | Ισπανίας | Ισπανίας | ES | ESP | España | Kingdom of Spain | Spain | [UNK],True,False,False
[CLS] η Μανίλα είναι η πρωτεύουσα των [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Philippines,ΗΠΑ,Φιλιππίνων | Δημοκρατία των Φιλιππίνων | Φιλιππίνων | Φιλιππίνων | PH | PHI | PHL | Philippine Islands | Philippines | RP | Republic of the Philippines | ph | the Philippines | [UNK],True,False,False
[CLS] το Λονδίνο είναι η πρωτεύουσα της [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Αγγλίας,χώρας,Αγγλίας | Αγγλίας,True,False,False
[CLS] η Βελιγράδι είναι η πρωτεύουσα της [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Σερβίας,χώρας,Σερβίας | Σερβίας,True,False,False
[CLS] η Ιερουσαλήμ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Israel,πληθυσμού,Ισραήλ | Ισραήλ | Ισραήλ | Holy Land | ISR | Israel | State of Israel | il | the Jewish state | [UNK],True,False,False
[CLS] η Τιμπού είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Bhutan,Κατάρ,Μπουτάν | Βασίλειο του Μπουτάν | Μπουτάν | Μπουτάν | BHU | Bhutan | Kingdom of Bhutan | bt | [UNK],True,False,False
[CLS] η Ποντγκόριτσα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Montenegro,πληθυσμού,Μαυροβουνίου | Μαυροβουνίου | Μοντενέγκρου | Μαυροβουνίου | MNE | Montenegro | me | [UNK],True,False,False
[CLS] η Χονολουλού είναι η πρωτεύουσα της [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Hawaii,χώρας,"Χαβάη | Χαβάη | Χαβάη | HI | Hawaii | Hawaii , United States | Hawaiʻi | Kaimana Hila | State of Hawaii | The Aloha State",True,False,False
[CLS] το Ρίο ντε Τζανέιρο είναι η πρωτεύουσα της [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Brazil,χώρας,Βραζιλίας | Βραζιλίας | Ομοσπονδιακής Φημοκρατίας | Βραζιλίας | BR | BRA | Brasil | Brazil | Estados Unidos del Brazil | Federativa Republica do Brasil | Federativa República do Brasil | Federative Republic of Brazil | Republic Federative of Brasil | Republica Federativa do Brasil | República Federativa do Brasil | br | [UNK],True,False,False
