sentence,prediction1,prediction2,gold,is_same1,is_same2,is_single_word
[CLS] Η επίσημη γλώσσα του Πουέρτο Ρίκου είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Spanish,ιταλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα του Ινστιτούτο Καταλανικών Σπουδών είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Catalan,αγγλικά,Καταλανική γλώσσα | Καταλανικά | Καταλανική γλώσσα | Καταλανική γλώσσα | Catalan | Catalan language | Catalan - Valencian - Balearic | Valencian | ca,True,False,False
[CLS] Η επίσημη γλώσσα του Μαυροβουνίου είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Serbian,αγγλικά,Σερβικά | Σερβικά | Σερβικά | Serbian | Serbian language | sr,True,False,False
[CLS] Η επίσημη γλώσσα της Βενεζουέλας είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Spanish,αγγλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα της Χιλής είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Spanish,Αγγλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα της Κιργιζίας είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Russian,Αγγλικά,Ρωσικά | Ρωσικά | Τμήμα : Ρώσικα | Ρωσικά | Russian | Russian language | ru,True,False,False
[CLS] Η επίσημη γλώσσα της Δελχιού είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Hindi,αγγλικά,Χίντι | Χίντι | Χίντι | Hindi | Hindi language | Modern Standard Hindi | hi,True,False,False
[CLS] Η επίσημη γλώσσα της Ρωμαϊκής Αυτοκρατορίας είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Latin,Αγγλικά,λατινική γλώσσα | λατινικά | λατινική γλώσσα | λατινική γλώσσα | Latin | Latin language | la | lat,True,False,False
[CLS] Η επίσημη γλώσσα της Δανίας είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Danish,αγγλικά,Δανικά | Δανικά | Δανικά | Danish | Danish language | Dansk | da,True,False,False
[CLS] Η επίσημη γλώσσα της Τσεχίας είναι τα [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Czech,αγγλικά,Τσεχικά | Τσεχικά | Τσεχικά | Czech | Czech language | cs,True,False,False
[CLS] Η επίσημη γλώσσα της Σερβίας είναι τα [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Serbian,αγγλικά,Σερβικά | Σερβικά | Σερβικά | Serbian | Serbian language | sr,True,False,False
[CLS] Η επίσημη γλώσσα της Μανιτόμπας είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Spanish,Αγγλικά,Αγγλικά | English | Αγγλικά | αγγλική γλώσσα | Αγγλικά | English | English language | en | eng,False,True,False
[CLS] Η επίσημη γλώσσα της Αργεντινής είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Spanish,Αγγλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα της Βαλένθιανής είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Spanish,ιταλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
[CLS] Η επίσημη γλώσσα της Μαγιόρκας είναι τα [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Spanish,Αγγλικά,Ισπανικά | Ισπανικά | Ισπανικά | Castilian | Castilian language | Español | Spanish | Spanish language | es,True,False,False
